Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5ylMA5GG8VDjcYUGts2QNt,"44RV4NtG7667JQNtX6iDZc,5pdyjBIaY5o1yOyexGIUc6,0O8f8ea4d3UvxzrJxkYIb0","demolition (Ruined by Glass Petals)","demolition (Ruined by Glass Petals)","LŪN,Lights,Glass Petals",2021-04-23,226440,49,spotify:user:,2022-07-29T04:01:00Z,"canadian folk,canadian pop,electropop,indie poptimism,canadian electronic",0.773,0.843,8,-5.733,1,0.0516,0.0074,0.428,0.0696,0.399,125.02,4
4uklTQyZiktk2DExXMRHZk,"7yPPzu5UdAK7yagQqjEZQm,6wKxOKEA3K6R2UZ3COLXEY","Losing My Mind (with Elohim)","Losing My Mind (with Elohim)","Party Favor,Elohim",2021-09-17,206141,48,spotify:user:,2022-07-29T04:01:00Z,"bass trap,edm,electro house,electronic trap,pop dance,alt z,electropop,indie electropop,indie poptimism,indietronica,la pop,vapor soul,vapor twitch",0.66,0.927,8,-6.915,0,0.0788,0.0851,0.375,0.308,0.613,113.015,4
40SBS57su9xLiE1WqkXOVr,"0HxX6imltnNXJyQhu4nsiO","Afraid To Feel","Afraid To Feel","LF SYSTEM",2022-05-02,177524,86,spotify:user:,2022-07-29T04:01:00Z,"",0.578,0.912,1,-3.929,1,0.114,0.0166,0.00362,0.273,0.68,127.87,4
1Rnx52PUuhrLrj306hOZHb,"4RVnAU35WRWra6OZ3CbbMA,2mLA48B366zkELXYx7hcDN","Can't Get You out of My Head - Peggy Gou’s Midnight Remix","Can't Get You out of My Head (Peggy Gou’s Midnight Remix)","Kylie Minogue,Peggy Gou",2022-05-19,271240,65,spotify:user:,2022-07-29T04:01:00Z,"australian dance,australian pop,dance pop,electropop,eurodance,europop,new wave pop,pop,uk pop,electra,float house",0.687,0.924,9,-7.324,0,0.0361,0.0707,0.228,0.046,0.931,126.018,4
2LxdNADWier3MKTei8FbOY,"5nki7yRhxgM509M5ADlN1p,3yDIp0kaq9EFKe07X1X2rz,1ilcpQQeF5mmvfO682aDgJ","I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir)","I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir)","Oliver Heldens,Nile Rodgers,House Gospel Choir",2022-05-06,157205,74,spotify:user:,2022-07-29T04:01:00Z,"dance pop,edm,electro house,future house,house,pop dance,progressive electro house,progressive house,tropical house,disco,cedm",0.686,0.892,10,-3.186,0,0.0498,0.0577,0.00000711,0.0838,0.752,126.03,4
160zbysYKia7DpELpVS0DW,"5jBerZvTAajwYvdxt3UhgU","Amor","Amor","San Pacho",2022-04-01,155714,63,spotify:user:,2022-07-29T04:01:00Z,"bass house",0.804,0.972,3,-5.976,0,0.0554,0.0361,0.647,0.319,0.502,125.994,4
6GomT970rCOkKAyyrwJeZi,"37czgDRfGMvgRiUKHvnnhj,0aOIluXr131XqrXFwFCFGT","Move Your Body","Move Your Body","Öwnboss,Sevek",2021-10-29,157444,84,spotify:user:,2022-07-29T04:01:00Z,"brazilian edm",0.848,0.821,2,-5.408,0,0.0527,0.0169,0.000403,0.0962,0.249,125.051,4
2FEUloDXMvRnyfLcsrCfkw,"7kNqXtgeIwFtelmRjWv205","La Danza","La Danza","John Summit",2022-03-11,157619,72,spotify:user:,2022-07-29T04:01:00Z,"edm,electro house,house,pop dance",0.797,0.88,6,-5.722,0,0.0442,0.00298,0.574,0.183,0.357,125.996,4
2AuwQ8Fjkvfidwq8AAZXpy,"3M3wTTCDwicRubwMyHyEDy","Cleo - Edit","Cleo","Shygirl",2021-10-26,189370,59,spotify:user:,2022-07-29T04:01:00Z,"alternative r&b,art pop,dance pop,electra,electropop,escape room,grimewave,hyperpop,pop",0.609,0.614,8,-7.514,0,0.0288,0.0138,0.00673,0.166,0.361,126.025,4
0dlP9SnqQa5k1A9mReybFb,"3Xt3RrJMFv5SZkCfUE8C1J","Treat Me Like A Slut","Slut Pop","Kim Petras",2022-02-11,118153,62,spotify:user:,2022-07-29T04:01:00Z,"art pop,dance pop,electropop,escape room,pop,post-teen pop,transpop",0.914,0.696,11,-4.482,0,0.134,0.00225,0.0000797,0.0979,0.572,130.028,4
