Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
760jhRscwGbIIe1m1IIQpU,"4vdAAzZBUKbsrvHi6UR7B7","Surface Pressure","Encanto (Original Motion Picture Soundtrack)","Jessica Darrow",2021-11-19,202226,78,spotify:user:,2022-07-22T22:00:00Z,"",0.65,0.584,2,-8.286,1,0.307,0.0174,0.00000154,0.042,0.37,180.088,4
0HT6xI2MTQ7qk4yNA1IZUd,"5mnS9jJdKQQcRSqFu5YPVe","How Far I'll Go - From Moana/Soundtrack Version","Disney Summer Songs","Auli'i Cravalho",2021-05-28,163386,66,spotify:user:,2022-07-22T22:00:00Z,"disney,hollywood,movie tunes,show tunes",0.537,0.307,4,-10.967,1,0.0545,0.649,0,0.177,0.114,83.632,4
52xJxFP6TqMuO4Yt0eOkMz,"29PgYEggDV3cDP9QYTogwv,36CUTsdtNgCwMq6zKD1l8I,72kqSqk124Vnl1wtT6q9Fh,2as15AH2BTrPk8v4gyElmr,18MFcGBHtyW0mU3ufcm0X1,5PYToRCsrnvikZg3yl2JMr,3xLU748QxpTmIVaiNXXg0P","We Don't Talk About Bruno","Encanto (Original Motion Picture Soundtrack)","Carolina Gaitán - La Gaita,Mauro Castillo,Adassa,Rhenzy Feliz,Diane Guerrero,Stephanie Beatriz,Encanto - Cast",2021-11-19,216120,82,spotify:user:,2022-07-22T22:00:00Z,"modern salsa,salsa colombiana,latin,latin hip hop,reggaeton",0.577,0.45,0,-8.516,0,0.0834,0.357,0,0.111,0.83,205.863,4
4bV5sf2B4hWBBd5HQ8S7KB,"7jLpPyJ5gQxCvwiBsUfFu6,60wslYioiBcxSTInM4nIy2,7hCuNVmOMT7ntattMgmL96,10WKlp1bjWxC1IWbpX4Q6l,0wSCwQI0t7XUj0zdGO25PZ,6NvsNA4Ea62yJh7ePTS8gz","Nobody Like U","Turning Red (Original Motion Picture Soundtrack)","4*TOWN (From Disney and Pixar’s Turning Red),Jordan Fisher,Finneas O'Connell,Topher Ngo,Grayson Villanueva,Josh Levi",2022-03-11,160946,77,spotify:user:,2022-07-22T22:00:00Z,"disney,post-teen pop,pop r&b",0.905,0.631,9,-10.06,0,0.177,0.129,0,0.101,0.751,105.026,4
4b1yxSdlumA8N4fEk4UOZp,"5PYToRCsrnvikZg3yl2JMr,2Go6wC0GsnkVeRoVwh8rqX,3xLU748QxpTmIVaiNXXg0P","The Family Madrigal","Encanto (Original Motion Picture Soundtrack)","Stephanie Beatriz,Olga Merediz,Encanto - Cast",2021-11-19,257213,77,spotify:user:,2022-07-22T22:00:00Z,"",0.594,0.628,1,-6.345,1,0.359,0.12,0,0.0582,0.556,141.391,4
2ldoyUu1SRf96pQ6G5n3gY,"1T8S48bD91THNKBByWBDyn","You're Welcome - From Moana/Soundtrack Version","Disney Summer Songs","Dwayne Johnson",2021-05-28,164866,64,spotify:user:,2022-07-22T22:00:00Z,"",0.785,0.737,5,-7.094,1,0.268,0.271,0,0.0391,0.69,135.236,4
50WeOnXhM1H7AZEeIDoWfZ,"73Np75Wv2tju61Eo9Zw4IR,3MyB0MyKec3Jq0AH2llk7v","Show Yourself","Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)","Idina Menzel,Evan Rachel Wood",2019-11-15,260906,72,spotify:user:,2022-07-22T22:00:00Z,"hollywood,show tunes",0.321,0.429,6,-7.073,1,0.0302,0.724,0.000091,0.0606,0.174,123.419,4
0OFknyqxmSQ42SoKxWVTok,"2q10Wskc3lPYmEuV7rzMCv,09oR0uKhqwScsKa2eUK97p","Un Poco Loco","Coco (Original Motion Picture Soundtrack)","Anthony Gonzalez,Gael Garcia Bernal",2017-11-10,112205,70,spotify:user:,2022-07-22T22:00:00Z,"movie tunes",0.62,0.496,7,-7.509,1,0.133,0.597,0.0000136,0.322,0.636,126.032,4
5k3U0OGYBccHdKJJu3HrUN,"0P0do9GwiSgweSF6Ui3mrv,0RH6EMxqfzCEB7QCSKQ4xr,5UdPkKWd8YNR5xGcmqH9QJ,5xk0kRuXn1zToTHpHAqpui","Hakuna Matata - From The Lion King/Soundtrack","The Lion King","Nathan Lane,Ernie Sabella,Jason Weaver,Joseph Williams",1994-01-01,213600,72,spotify:user:,2022-07-22T22:00:00Z,"broadway,disney,hollywood,movie tunes,show tunes",0.408,0.313,0,-18.09,1,0.137,0.617,0.0000118,0.115,0.725,170.013,4
0qcr5FMsEO85NAQjrlDRKo,"73Np75Wv2tju61Eo9Zw4IR","Let It Go - From Frozen/Soundtrack Version","Frozen (Original Motion Picture Soundtrack / Deluxe Edition)","Idina Menzel",2013-01-01,223840,75,spotify:user:,2022-07-22T22:00:00Z,"hollywood,show tunes",0.543,0.485,8,-6.85,1,0.0305,0.558,0,0.12,0.371,136.961,4
03xWMkKEbeO4SnylA53ipj,"2LJxr7Pt3JnP60eLxwbDOu","When Will My Life Begin? - From Tangled / Soundtrack Version","Tangled","Mandy Moore",2010-01-01,152333,70,spotify:user:,2022-07-22T22:00:00Z,"dance pop,hollywood,movie tunes,post-teen pop",0.673,0.42,4,-7.581,1,0.0317,0.112,0,0.0897,0.385,108.066,4
28UMEtwyUUy5u0UWOVHwiI,"5ZEAzHE2TzAwUcOj6jMIgf,4KpdqBDU2C5gB3vhdojuqA,3xvaSlT4xsyk6lY1ESOspO","I'll Make a Man Out of You","Mulan (Original Soundtrack)","Donny Osmond,Chorus - Mulan,Disney",1998-01-01,201680,71,spotify:user:,2022-07-22T22:00:00Z,"disney,movie tunes",0.672,0.322,7,-17.669,1,0.0339,0.144,0.0000296,0.074,0.496,113.852,4
3IPnBzGRMg6BfViFxxa0Gq,"2kHxkdiKCSnHMkhIgFBZaI,47NluEnhJda2gsnjuvcoob","Love Is an Open Door - From Frozen/Soundtrack Version","Frozen (Original Motion Picture Soundtrack / Deluxe Edition)","Kristen Bell,Santino Fontana",2013-01-01,124733,70,spotify:user:,2022-07-22T22:00:00Z,"disney,hollywood,broadway,show tunes",0.737,0.637,6,-6.308,0,0.0735,0.262,0,0.319,0.537,100.033,4
0qxtQ8rf3W1nId3D2r0xH4,"5UdPkKWd8YNR5xGcmqH9QJ,5U4QDnlOlmZx9MHV45EoDE,6wIj7GdxBjFtw6ySpzazwo","I Just Can't Wait to Be King - From The Lion King/Soundtrack Version","The Lion King","Jason Weaver,Rowan Atkinson,Laura Williams",1994-01-01,170880,71,spotify:user:,2022-07-22T22:00:00Z,"movie tunes,british comedy",0.689,0.533,6,-14.205,1,0.0544,0.321,0.0000737,0.0958,0.898,98.801,4
1hwdPQtFHISvZ9SXMkNrIK,"1GlMjIezcLwV3OFlX0uXOv,3dAzSJ9lQnJSq5Z0OgDBep,3xvaSlT4xsyk6lY1ESOspO","A Whole New World","Aladdin Special Edition","Lea Salonga,Brad Kane,Disney",2004-01-01,160800,69,spotify:user:,2022-07-22T22:00:00Z,"hollywood,movie tunes,show tunes,tagalog worship,disney",0.283,0.227,0,-15.793,1,0.0366,0.846,0.00000208,0.1,0.128,121.419,4
3Z0oQ8r78OUaHvGPiDBR3W,"73Np75Wv2tju61Eo9Zw4IR,1WgXqy2Dd70QQOU7Ay074N","Into the Unknown","Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)","Idina Menzel,AURORA",2019-11-15,194848,73,spotify:user:,2022-07-22T22:00:00Z,"hollywood,show tunes,art pop,norwegian pop",0.323,0.405,10,-8.533,0,0.0413,0.849,0.000544,0.138,0.274,145.104,5
7tUSJY4nsDBJTjd1UXKRsT,"4mmMtabvFCKA6HfmVmitNH,3xvaSlT4xsyk6lY1ESOspO","Part of Your World","The Little Mermaid Special Edition","Jodi Benson,Disney",2006-01-01,195493,68,spotify:user:,2022-07-22T22:00:00Z,"disney,hollywood,movie tunes,show tunes",0.274,0.144,5,-14.516,1,0.0482,0.92,0.000388,0.29,0.302,61.551,5
1fTDYdx5zYfWJSX0JlKO8o,"4lxfqrEsLX6N1N4OCSkILp","You'll Be In My Heart - From Tarzan/Soundtrack Version","Disney Summer Songs","Phil Collins",2021-05-28,258133,72,spotify:user:,2022-07-22T22:00:00Z,"mellow gold,rock drums,soft rock",0.566,0.748,8,-6.549,1,0.0301,0.0643,0.00000516,0.0925,0.614,96.586,4
3G9ZnSjGYyHx7e221v0qse,"7ysDgZ3JkblCgOsDTJWttt,5uOO6CI45847UsjUQsd2iS","He Mele No Lilo","Lilo & Stitch","Mark Keali'i Ho'omalu,Kamehameha Schools Children's Chorus",2002-01-01,148133,66,spotify:user:,2022-07-22T22:00:00Z,"movie tunes",0.73,0.331,2,-12.427,1,0.0429,0.46,0.000286,0.104,0.394,126.592,4
3oRW9ZGPRbLRMneQ5lwflt,"5PYToRCsrnvikZg3yl2JMr","Waiting On A Miracle","Encanto (Original Motion Picture Soundtrack)","Stephanie Beatriz",2021-11-19,161840,73,spotify:user:,2022-07-22T22:00:00Z,"",0.48,0.554,1,-8.145,0,0.069,0.171,0,0.131,0.267,190.066,3
70b5Sq3ePOu3Gqg0hjlOtR,"2kHxkdiKCSnHMkhIgFBZaI,73Np75Wv2tju61Eo9Zw4IR","For the First Time in Forever - From Frozen/Soundtrack Version","Frozen (Original Motion Picture Soundtrack / Deluxe Edition)","Kristen Bell,Idina Menzel",2013-01-01,225080,69,spotify:user:,2022-07-22T22:00:00Z,"disney,hollywood,show tunes",0.354,0.411,0,-6.018,1,0.0344,0.815,0.000001,0.106,0.43,90.831,4
5f2TWu6R2YYCJtLQ0fP78H,"41qil2VaGbD194gaEcmmyx","Friend Like Me","Aladdin (Original Motion Picture Soundtrack)","Will Smith",2019-05-22,155531,69,spotify:user:,2022-07-22T22:00:00Z,"hip hop,pop rap",0.688,0.732,2,-6.162,1,0.0618,0.0536,0,0.145,0.665,97.703,4
