Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
32OlwWuMpZ6b0aN2RZOeMS,"3hv9jJF3adDNsBSIQDqcjp,0du5cEVh5yTK9QJze8zA0C","Uptown Funk (feat. Bruno Mars)","Uptown Special","Mark Ronson,Bruno Mars",2015-01-12,269666,83,spotify:user:1napb5rojlrqtimlnzpnbmrc4,2022-06-30T22:25:31Z,"dance pop,pop,uk pop",0.856,0.609,0,-7.223,1,0.0824,0.00801,0.0000815,0.0344,0.928,114.988,4
0t1kP63rueHleOhQkYSXFY,"3Nrfpe0tUJi4K4DXYWgMUX","Dynamite","Dynamite (DayTime Version)","BTS",2020-08-28,199053,10,spotify:user:1napb5rojlrqtimlnzpnbmrc4,2022-06-30T22:25:31Z,"k-pop,k-pop boy group",0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044,4
0VjIjW4GlUZAMYd2vXMi3b,"1Xyo4u8uXC1ZmMpatF05PJ","Blinding Lights","After Hours","The Weeknd",2020-03-20,200040,91,spotify:user:1napb5rojlrqtimlnzpnbmrc4,2022-06-30T22:25:31Z,"canadian contemporary r&b,canadian pop,pop",0.514,0.73,1,-5.934,1,0.0598,0.00146,0.0000954,0.0897,0.334,171.005,4
0bI7K9Becu2dtXK1Q3cZNB,"2o5jDhtHVPhrJdv3cEQ99Z,790FomKkXshlbRYZFtlgla","Don't Be Shy","Don't Be Shy","Tiësto,KAROL G",2021-08-12,140500,85,spotify:user:1napb5rojlrqtimlnzpnbmrc4,2022-06-30T22:25:31Z,"big room,brostep,dance pop,dutch edm,edm,house,pop,pop dance,slap house,trance,tropical house,latin,reggaeton,reggaeton colombiano",0.77,0.787,11,-3.748,0,0.0583,0.198,0,0.262,0.513,119.986,4
27tNWlhdAryQY04Gb2ZhUI,"6jJ0s89eD6GaHleKKya26X","Roar","PRISM","Katy Perry",2013-01-01,223546,77,spotify:user:1napb5rojlrqtimlnzpnbmrc4,2022-06-30T22:25:31Z,"dance pop,pop,post-teen pop",0.671,0.771,7,-4.821,0,0.0316,0.00492,0.00000728,0.354,0.436,90.003,4
1PckUlxKqWQs3RlWXVBLw3,"56oDRnqbIiwx4mymNEv7dS","About Damn Time","About Damn Time","Lizzo",2022-04-14,191822,93,spotify:user:1napb5rojlrqtimlnzpnbmrc4,2022-06-30T22:25:31Z,"dance pop,escape room,minnesota hip hop,pop,trap queen",0.836,0.743,10,-6.305,0,0.0656,0.0995,0,0.335,0.722,108.966,4
0QBzMgT7NIeoCYy3sJCof1,"4nDoRrQiYLoBzwC5BhVJzF,6eUKZXaKkcviH0Ku9w2n3V","Bam Bam (feat. Ed Sheeran)","Bam Bam (feat. Ed Sheeran)","Camila Cabello,Ed Sheeran",2022-03-04,206070,90,spotify:user:1napb5rojlrqtimlnzpnbmrc4,2022-06-30T22:25:31Z,"dance pop,pop,post-teen pop,uk pop",0.756,0.697,8,-6.377,1,0.0401,0.182,0,0.333,0.956,94.996,4
3cFsmM51N5zMAuu1nNY4Tw,"3Isy6kedDrgPYoTS1dazA9,6M2wZ9GZgrQXHCFfjv46we","No Lie","No Lie","Sean Paul,Dua Lipa",2016-11-18,221176,0,spotify:user:1napb5rojlrqtimlnzpnbmrc4,2022-06-30T22:25:31Z,"dance pop,dancehall,pop,pop rap,uk pop",0.741,0.891,7,-2.824,1,0.119,0.0437,0,0.256,0.449,102.002,4
2wtjKTnfYimgKi9cPxPBPV,"5T0j6On1EthT2QVNXh8vqc","MMM","MMM","Minelli",2022-03-18,192960,67,spotify:user:1napb5rojlrqtimlnzpnbmrc4,2022-07-13T06:44:42Z,"romanian pop",0.792,0.643,5,-5.803,0,0.0861,0.466,0.00000107,0.136,0.661,124.981,4
3i4v8NOGZiiizhvFuQfWRn,"4tFjpOM0KI3B3RhwFSegho","Sky Of The Morning","Sky Of The Morning","Mr. Gun",2021-02-24,149189,40,spotify:user:1napb5rojlrqtimlnzpnbmrc4,2022-06-30T22:25:31Z,"",0.693,0.411,9,-12.117,1,0.0426,0.0512,0.843,0.118,0.439,148.01,4
