Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4cacyP5c3PMlfnyjpg13xW,"2YOYua8FpudSEiB9s88IgQ","Betty (Get Money)","Betty (Get Money)","Yung Gravy",2022-06-10,146470,87,spotify:user:,2022-07-21T22:02:00Z,"minnesota hip hop",0.723,0.772,1,-6.784,1,0.0792,0.00524,0.0000115,0.367,0.58,102.004,4
5LYMamLv12UPbemOaTPyeV,"6KImCVD70vtIoJWnq6nGn3","Music For a Sushi Restaurant","Harry's House","Harry Styles",2022-05-20,193813,88,spotify:user:,2022-07-21T22:02:00Z,"pop",0.72,0.715,11,-4.652,1,0.04,0.258,0.0568,0.107,0.357,107.041,4
1CH4U9ysnaZx8A1uQ44Peg,"6owH8F2INpb18PhnISiVh2,7jEEE187pVG6InOxn03oA5","I Found You (feat. Benjamin Ingrosso)","I Found You (feat. Benjamin Ingrosso)","Vantage,Benjamin Ingrosso",2021-07-30,152195,52,spotify:user:,2022-07-21T22:02:00Z,"future funk,swedish pop",0.817,0.809,5,-6.387,0,0.1,0.0593,0.276,0.113,0.917,123.017,4
404b6bC4GIxPsNssJmfC1f,"41X1TR6hrK8Q2ZCpp2EqCz,5fMUXHkw8R8eOP2RNVYEZX","pogo","pogo","bbno$,Diplo",2022-06-24,207360,71,spotify:user:,2022-07-21T22:02:00Z,"canadian hip hop,dark trap,vapor trap,edm,electro house,moombahton,ninja,pop,pop dance,tropical house",0.729,0.973,4,-2.761,1,0.0759,0.0424,0.205,0.333,0.687,124.957,4
3jHYDEB0YUNJCSEMF2um60,"7ltDVBr6mKbRvohxheJ9h1","CHICKEN TERIYAKI","CHICKEN TERIYAKI","ROSALÍA",2022-02-24,122226,62,spotify:user:,2022-07-21T22:02:00Z,"r&b en espanol",0.788,0.4,2,-6.454,1,0.115,0.454,0.000141,0.0686,0.558,97.936,4
5FH5U5zlicxKUXK6DruWKM,"3MdG05syQeRYPPcClLaUGl,5INjqkS1o8h1imAzPqGZBb","Turn Up The Sunshine - From 'Minions: The Rise of Gru' Soundtrack","Turn Up The Sunshine (From 'Minions: The Rise of Gru' Soundtrack)","Diana Ross,Tame Impala",2022-05-19,229610,64,spotify:user:,2022-07-21T22:02:00Z,"adult standards,disco,motown,quiet storm,soul,australian psych,neo-psychedelic",0.776,0.676,11,-5.007,1,0.0511,0.114,0.00000329,0.0687,0.774,110.017,4
748mdHapucXQri7IAO8yFK,"5cj0lLjcoR7YOSnhnX0Po5,7tYKF4w9nC0nq9CsPZTHyP","Kiss Me More (feat. SZA)","Kiss Me More (feat. SZA)","Doja Cat,SZA",2021-04-09,208866,83,spotify:user:,2022-07-21T22:02:00Z,"dance pop,pop,r&b",0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,4
7mFj0LlWtEJaEigguaWqYh,"181bsRPaVXVlUKXrxwZfHK,6M2wZ9GZgrQXHCFfjv46we","Sweetest Pie","Sweetest Pie","Megan Thee Stallion,Dua Lipa",2022-03-11,201334,87,spotify:user:,2022-07-21T22:02:00Z,"dance pop,houston rap,pop,trap queen,uk pop",0.814,0.628,7,-7.178,1,0.221,0.167,0,0.101,0.677,123.977,4
3Z7CaxQkqbIs1rewKi6v4W,"2o5jDhtHVPhrJdv3cEQ99Z,25uiPmTg16RbhZWAqwLBy5","Hot In It","Hot In It","Tiësto,Charli XCX",2022-06-30,129817,83,spotify:user:,2022-07-21T22:02:00Z,"big room,brostep,dance pop,dutch edm,edm,house,pop,pop dance,slap house,trance,tropical house,art pop,candy pop,electropop,metropopolis,uk pop",0.748,0.841,7,-5.08,1,0.177,0.00445,0.00000133,0.0413,0.717,123.045,4
4NexTaCZZ7Ehnf03A6SVjt,"4sTQVOfp9vEMCemLw50sbu,164Uj4eKjl6zTBKfJLFKKK","Dandelion","Dandelion","Galantis,JVKE",2021-01-08,140011,69,spotify:user:,2022-07-21T22:02:00Z,"dance pop,edm,electro house,pop,pop dance,tropical house,modern indie pop",0.8,0.66,0,-4.903,1,0.158,0.158,0.02,0.14,0.634,117.923,4
4UxATpWvXewD5EZUW01EeQ,"7EQ0qTo7fWT7DPxmxtSYEc","Thelma + Louise","Thelma + Louise","Bastille",2021-08-18,137476,59,spotify:user:,2022-07-21T22:02:00Z,"metropopolis,modern rock,pop,pop rock",0.766,0.83,9,-3.335,1,0.1,0.0146,0,0.035,0.756,121.948,4
3h3szgXLd2FJ0WSWj8om9t,"30FDJPN3RtwJZ20g5YGCRX,5MbNzCW3qokGyoo9giHA3V,0eRbECAGCLLiTyVXPBRexU,4cxJUMXdHetYoijH951DRV","L.O.V.E. (feat. EARTHGANG, Jon Batiste & Sherwyn)","L.O.V.E. (feat. EARTHGANG, Jon Batiste & Sherwyn)","Yung Bae,EARTHGANG,Jon Batiste,Sherwyn",2022-03-02,169200,55,spotify:user:,2022-07-21T22:02:00Z,"future funk,atl hip hop,hip hop,psychedelic hip hop,rap,underground hip hop,new orleans jazz",0.81,0.779,9,-4.834,1,0.0485,0.000308,0,0.23,0.641,111.054,4
0N9C80kcgL0xXGduKnYKWi,"4LLpKhyESsyAXpc4laK94U,4W48hZAnAHVOC2c8WH8pcq","Love Lost","I Love Life, Thank You","Mac Miller,The Temper Trap",2022-07-22,162875,80,spotify:user:,2022-07-21T22:02:00Z,"hip hop,pittsburgh rap,rap,alternative dance,modern rock",0.735,0.812,2,-4.417,1,0.151,0.528,0,0.186,0.584,109.835,4
2rmwqU7yzTvzkiaRV53DpT,"56oDRnqbIiwx4mymNEv7dS","2 Be Loved (Am I Ready)","Special","Lizzo",2022-07-15,187107,79,spotify:user:,2022-07-21T22:02:00Z,"dance pop,escape room,minnesota hip hop,pop,trap queen",0.721,0.769,7,-4.111,1,0.105,0.0922,0,0.0817,0.915,155.932,4
78zWCikDMYzFpXAdqANPrD,"2kCO8LXN1usaOPL3iEE28I","3 outfits","3 outfits","Tai Verdes",2022-03-25,210866,59,spotify:user:,2022-07-21T22:02:00Z,"modern indie pop,pop rap",0.65,0.88,11,-4.292,0,0.15,0.145,0.00223,0.351,0.648,176.017,4
1SC5rEoYDGUK4NfG82494W,"7jVv8c5Fj3E9VhNjxT4snq","MONTERO (Call Me By Your Name)","MONTERO","Lil Nas X",2021-09-17,137704,83,spotify:user:,2022-07-21T22:02:00Z,"lgbtq+ hip hop,pop",0.593,0.503,8,-6.725,0,0.22,0.293,0,0.405,0.71,178.781,4
7jvCeWOSnJs2N3spqobWnO,"0du5cEVh5yTK9QJze8zA0C,3jK9MiCrA42lLAdMGUZpwa,6PvvGcCY2XtUcSRld1Wilr","Skate","An Evening With Silk Sonic","Bruno Mars,Anderson .Paak,Silk Sonic",2021-11-11,203122,74,spotify:user:,2022-07-21T22:02:00Z,"dance pop,pop,escape room",0.708,0.598,5,-8.365,1,0.0291,0.037,0,0.17,0.698,112.027,4
