Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4q9NEq8kUmSZwtNsxL2KJN,"78YqeIji3mgAS2K1Maca6x","Can't Have Mine (Find You A Girl)","Can't Have Mine (Find You A Girl)","Dylan Scott",2022-02-18,183087,72,spotify:user:,2022-08-05T04:00:00Z,"contemporary country,country,country road",0.663,0.502,5,-7.07,1,0.0285,0.791,0,0.105,0.371,143.969,4
6Tm4Io4ct4w14nB1EUzsY3,"4NYMUsIcUUsBHbV9DICa5x","Whiskey On You","Whiskey On You","Nate Smith",2022-05-06,183789,79,spotify:user:,2022-08-05T04:00:00Z,"contemporary country",0.479,0.768,8,-5.204,1,0.0312,0.0000702,0.00549,0.121,0.576,110.024,4
2kEhQe0BVtY8IIaFE5ALA0,"6nXco5Q3cJJ0ZutnBOsSpq","Pickup","Pickup","MacKenzie Porter",2021-11-19,168447,73,spotify:user:,2022-08-05T04:00:00Z,"alberta country,canadian contemporary country,canadian country,contemporary country,country pop",0.614,0.837,1,-3.967,1,0.0255,0.45,0.0000249,0.115,0.862,96.977,5
6AqwH2Y9FJwhUE2dCSkw1u,"3BEV5FcxOtkQJ7lLRKMh3V","5 Foot 9","5 Foot 9","Tyler Hubbard",2022-05-20,189780,79,spotify:user:,2022-08-05T04:00:00Z,"",0.602,0.796,5,-5.609,1,0.0465,0.146,0,0.125,0.53,106.005,4
2vubFQgAJO5SeuVa7ytIHc,"4eYE8Z6cfEHEdG22lTyucP","Wilder Days","Reckless","Morgan Wade",2021-03-19,251293,76,spotify:user:,2022-08-05T04:00:00Z,"contemporary country",0.502,0.662,9,-4.041,1,0.0293,0.00322,0.00274,0.119,0.4,110.917,4
5uU1uuyaUIBOiiUSQG7Wl3,"4oUHIQIBe0LHzYfvXNW4QM","You Proof","You Proof","Morgan Wallen",2022-05-13,157477,85,spotify:user:,2022-08-05T04:00:00Z,"contemporary country",0.731,0.85,9,-4.913,1,0.0336,0.252,0,0.605,0.644,119.706,4
4686eQ81DEswHa90bcdlC9,"3win9vGIxFfBRag9S63wwf","Rock and A Hard Place","Rock and A Hard Place","Bailey Zimmerman",2022-06-10,207540,82,spotify:user:,2022-08-05T04:00:00Z,"contemporary country",0.582,0.568,1,-7.3,1,0.0275,0.577,0,0.105,0.394,121.991,3
1S55d7hhptRt8PS6nC1fSY,"3RqBeV12Tt7A8xH3zBDDUF","HEARTFIRST","HEARTFIRST","Kelsea Ballerini",2022-04-08,187016,74,spotify:user:,2022-08-05T04:00:00Z,"contemporary country,country,pop",0.662,0.855,0,-3.742,1,0.0457,0.021,0,0.228,0.84,120.079,4
3YaycOQk7PoQpl7YdvmWdX,"6y8XlgIV8BLlIg1tT1R10i","No Hard Feelings","Time, Tequila & Therapy","Old Dominion",2021-10-08,191360,75,spotify:user:,2022-08-05T04:00:00Z,"contemporary country,country,country road",0.636,0.866,4,-5.796,1,0.0553,0.243,0.00000542,0.371,0.963,85.004,4
200x8ONbPfFzByUr3fVz46,"1mfDfLsMxYcOOZkzBxvSVW","She Had Me At Heads Carolina","Stereotype","Cole Swindell",2022-04-08,206106,81,spotify:user:,2022-08-05T04:00:00Z,"contemporary country,country,country road,modern country rock",0.607,0.912,8,-3.449,1,0.0611,0.124,0,0.332,0.722,134.944,4
16Sdmdt7jpibASwEsO0s9j,"3bhu7P5PfngueRHiB9hjcx,7x8nK0m0cP2ksQf0mjWdPS","Worth A Shot (feat. Dierks Bentley)","Worth A Shot (feat. Dierks Bentley)","Elle King,Dierks Bentley",2022-05-13,211933,63,spotify:user:,2022-08-05T04:00:00Z,"modern blues rock,contemporary country,country,country road",0.554,0.809,0,-4.893,1,0.039,0.00481,0.00156,0.111,0.462,159.989,4
28n8z9IQKyjMPxmvYMBqZa,"718COspgdWOnwOFpJHRZHS","The Kind of Love We Make","The Kind of Love We Make","Luke Combs",2022-06-17,224426,81,spotify:user:,2022-08-05T04:00:00Z,"contemporary country,country",0.608,0.745,1,-4.13,1,0.0277,0.0226,0.00000647,0.0942,0.464,102.025,4
3vCUelLOtiuNF78p9LNWZF,"5Zq7R5qmi58ByYyBQTlNuk","Soul","Hey World","Lee Brice",2020-11-20,167680,76,spotify:user:,2022-08-05T04:00:00Z,"contemporary country,country,country road,modern country rock",0.789,0.642,11,-8.304,1,0.0352,0.357,0,0.0985,0.755,121.003,4
3SeeaIXnrCfT88vHVCRWHl,"4MoAOfV4ROWofLG3a3hhBN","Last Night Lonely","Last Night Lonely","Jon Pardi",2022-02-17,181990,78,spotify:user:,2022-08-05T04:00:00Z,"contemporary country,country,country road,modern country rock",0.646,0.816,6,-2.65,1,0.0269,0.00496,0,0.179,0.865,102.972,4
3HGnIIdHYIbkowzLk8UHbE,"0jPnVIasXzBYjrlpO5irii,2kucQ9jQwuD8jWdtR9Ef38","Wishful Drinking (with Sam Hunt)","Wishful Drinking (with Sam Hunt)","Ingrid Andress,Sam Hunt",2021-08-02,194544,76,spotify:user:,2022-08-05T04:00:00Z,"contemporary country,country pop",0.678,0.528,10,-7.317,1,0.0551,0.289,0,0.0734,0.614,79.018,4
3rvEUrjnl3eXXmKiKLkzRN,"6BpvASijzSWj7gnZD4Dvf1","My Bar","My Bar","Priscilla Block",2022-01-14,193053,71,spotify:user:,2022-08-05T04:00:00Z,"contemporary country,country,country pop",0.615,0.782,11,-3.386,1,0.0331,0.0173,0,0.189,0.562,96.97,4
4RG7P0CXQ4pe0OeCAHjX5L,"3sUpZrkehiGBaMzs2h9Mmc","Wild as Her","Wild as Her","Corey Kent",2022-03-04,199733,75,spotify:user:,2022-08-05T04:00:00Z,"contemporary country",0.504,0.736,0,-6.079,1,0.0352,0.00216,0,0.129,0.46,148.014,4
6kCFt2ATuMIE5H9zVEJXei,"3FfvYsEGaIb52QPXhg4DcH","That's What Tequila Does","MACON","Jason Aldean",2021-11-12,189306,59,spotify:user:,2022-08-05T04:00:00Z,"contemporary country,country,country road",0.522,0.801,5,-5.424,1,0.1,0.224,0,0.301,0.491,155.928,3
