Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
40SBS57su9xLiE1WqkXOVr,"0HxX6imltnNXJyQhu4nsiO","Afraid To Feel","Afraid To Feel","LF SYSTEM",2022-05-02,177524,86,spotify:user:topsify,2022-08-05T11:57:58Z,"",0.578,0.912,1,-3.929,1,0.114,0.0166,0.00362,0.273,0.68,127.87,4
73ld0s31b4ppmoEVriDrxp,"7K14Sqoee5XHLC0I36VFKB,2PXenNN61QlrBTgUU5hB2l","Don't Let Me Go","Don't Let Me Go","Bruno Pietri,Pete Spruce",2022-06-16,148459,62,spotify:user:topsify,2022-08-05T11:57:58Z,"",0.662,0.826,11,-7.831,1,0.0498,0.0778,0.00689,0.336,0.315,125.02,4
7fZBQnc0zXwVybgCIrQQil,"5rGrDvrLOV2VV8SCFVGWlj,0Upxnyh9nIUNSOmNE8WF4R","Belly Dancer","Belly Dancer","Imanbek,BYOR",2022-02-18,151475,88,spotify:user:topsify,2022-08-05T11:57:58Z,"dance pop,edm,electro house,pop dance,slap house,tropical house,russian edm",0.845,0.797,1,-4.984,1,0.139,0.0582,0.00000557,0.167,0.422,121.985,4
5IfHQilcjciOxJQBFCNCCN,"6DgP9otnZw5z6daOntINxp,4EPJlUEBy49EX1wuFOvtjK","HISTORY","HISTORY","Joel Corry,Becky Hill",2022-08-05,176609,65,spotify:user:topsify,2022-08-05T11:57:58Z,"dance pop,edm,pop,pop dance,tropical house,uk dance,pop house,uk pop",0.674,0.86,8,-3.318,1,0.0369,0.155,0.00000321,0.359,0.771,122.975,4
1WCEAGGRD066z2Q89ObXTq,"1Cs0zKBU1kc0i8ypK3B9ai,4EPJlUEBy49EX1wuFOvtjK,7nDsS0l5ZAzMedVRKPP8F1","Crazy What Love Can Do","Crazy What Love Can Do","David Guetta,Becky Hill,Ella Henderson",2022-04-08,169756,87,spotify:user:topsify,2022-08-05T11:57:58Z,"big room,dance pop,edm,pop,pop dance,pop rap,pop house,tropical house,uk dance,uk pop,talent show",0.601,0.713,4,-3.758,0,0.0449,0.0282,0,0.158,0.464,122.872,4
6MQ3ksdINAphIz32yY29xk,"054AWr3ShpT8e6JVHMC0Gs,2EOdORJgTiT4w2eLQk1IWE","Know Better","Know Better","CLIK3D,EVALINA",2021-08-06,172889,55,spotify:user:topsify,2022-08-05T11:57:58Z,"",0.687,0.878,5,-4.323,1,0.0438,0.0986,0.0000864,0.0732,0.702,123.964,4
0pIR3BAdQZKxPeEpLZ96oE,"4zxtCQ4mwZH38FVCSbpqlZ","Love On Me","Love On Me","THAT KIND",2022-06-10,147724,57,spotify:user:topsify,2022-08-05T11:57:58Z,"deep groove house,house,pop dance,uk dance",0.552,0.931,10,-3.935,0,0.062,0.202,0.00443,0.0656,0.358,123.81,4
1RF02Cf80mTaeNXG2P2boR,"2gduEC76ry33RVurAvT05p,7nDsS0l5ZAzMedVRKPP8F1","21 Reasons (feat. Ella Henderson)","21 Reasons (feat. Ella Henderson)","Nathan Dawe,Ella Henderson",2022-04-29,155253,85,spotify:user:topsify,2022-08-05T11:57:58Z,"dance pop,house,pop dance,tropical house,uk dance,uk pop,pop,talent show",0.621,0.785,6,-4.499,1,0.11,0.0165,0.00000592,0.0512,0.779,123.96,4
3Z7CaxQkqbIs1rewKi6v4W,"2o5jDhtHVPhrJdv3cEQ99Z,25uiPmTg16RbhZWAqwLBy5","Hot In It","Hot In It","Tiësto,Charli XCX",2022-06-30,129817,83,spotify:user:topsify,2022-08-05T11:57:58Z,"big room,brostep,dance pop,dutch edm,edm,house,pop,pop dance,slap house,trance,tropical house,art pop,candy pop,electropop,metropopolis,uk pop",0.748,0.841,7,-5.08,1,0.177,0.00445,0.00000133,0.0413,0.717,123.045,4
3cIjfIqsLjCkuO31ycSBxP,"26OrZl5U3VNGHU9qUj8EcM","Feel Your Body","Feel Your Body","Shift K3Y",2022-08-05,176000,49,spotify:user:topsify,2022-08-05T11:57:58Z,"deep groove house,house,pop dance,tropical house,uk dance",0.712,0.765,1,-5.137,0,0.0799,0.0363,0.129,0.344,0.693,123.999,4
7A0xA68c4NiTvbWWAsIsoN,"13wroZC00C9ix8fUR0JvaY,7mGI9Sd66FqHjIkwzkgbG7","Tears In Ibiza (feat. AR/CO)","Tears In Ibiza (feat. AR/CO)","The Stickmen Project,AR/CO",2022-07-15,143579,56,spotify:user:topsify,2022-08-05T11:57:58Z,"",0.804,0.846,7,-5.324,0,0.0373,0.0704,0.000374,0.115,0.426,126.996,4
2FEUloDXMvRnyfLcsrCfkw,"7kNqXtgeIwFtelmRjWv205","La Danza","La Danza","John Summit",2022-03-11,157619,72,spotify:user:topsify,2022-08-05T11:57:58Z,"edm,electro house,house,pop dance",0.797,0.88,6,-5.722,0,0.0442,0.00298,0.574,0.183,0.357,125.996,4
22pjmqZq2oTZtEThEt66Zn,"5fMUXHkw8R8eOP2RNVYEZX,360IAlyVv4PCEVjgyMZrxK","Don't Forget My Love","Diplo","Diplo,Miguel",2022-03-04,199090,66,spotify:user:topsify,2022-08-05T11:57:58Z,"edm,electro house,moombahton,ninja,pop,pop dance,tropical house,dance pop,r&b,urban contemporary",0.638,0.875,2,-6.222,1,0.0413,0.0239,0.0149,0.119,0.251,121.035,4
3UGAJ5bHrDvxH28oJq5Uiw,"4AKwRarlmsUlLjIwt38NLw","4U","4U","Ofenbach",2022-04-18,149717,73,spotify:user:topsify,2022-08-05T11:57:58Z,"dance pop,edm,electro house,pop,pop dance,tropical house",0.759,0.909,7,-4.388,0,0.0451,0.212,0,0.142,0.539,122.871,4
18asYwWugKjjsihZ0YvRxO,"2o5jDhtHVPhrJdv3cEQ99Z,4npEfmQ6YuiwW1GpUmaq3F","The Motto","The Motto","Tiësto,Ava Max",2021-11-04,164818,88,spotify:user:topsify,2022-08-05T11:57:58Z,"big room,brostep,dance pop,dutch edm,edm,house,pop,pop dance,slap house,trance,tropical house",0.754,0.763,7,-4.627,0,0.0435,0.0301,0.0000223,0.0901,0.464,117.953,4
75HBVc7kJLjC2LlPc4ScfH,"5oJvmyeWzyeahRtjup3Oys,1uaDw0T6O916Kv8TxJsQzb,4NhRml5ZOfNaYJAHUE0XwT,5ynMbTlnZvBUxrxUrd6gs0","Sleepless","Sleepless","AVAION,PaulWetz,Nu Aspect,yuma.",2022-05-27,165263,72,spotify:user:topsify,2022-08-05T11:57:58Z,"",0.673,0.595,7,-11.333,0,0.0393,0.372,0.37,0.077,0.186,121.982,4
6bp0sJ0l3Ab3ZU0aktsYCf,"3t5xRXzsuZmMDkQzgOX35S,7z2avKuuiMAT4XZJFv8Rvh","Sun Will Shine","Sun Will Shine","Robin Schulz,Tom Walker",2022-07-29,201700,69,spotify:user:topsify,2022-08-05T11:57:58Z,"dance pop,deep euro house,deep house,edm,german dance,pop,pop dance,tropical house,indie anthem-folk,uk pop",0.534,0.714,6,-6.347,0,0.0629,0.00633,0,0.0879,0.415,125.99,4
5dry5tz8yLcLuOJ3l6ZEQd,"25uiPmTg16RbhZWAqwLBy5","Used To Know Me","CRASH","Charli XCX",2022-03-18,145840,69,spotify:user:topsify,2022-08-05T11:57:58Z,"art pop,candy pop,dance pop,electropop,metropopolis,pop,uk pop",0.711,0.931,1,-4.042,1,0.0323,0.0914,0.0000441,0.0892,0.775,118.009,4
4sr6SwiKaIc6z90KEPKmzR,"2nm38smINjms1LtczR0Cei","Black & Blue","Black & Blue","Goodboys",2022-01-28,159916,59,spotify:user:topsify,2022-08-05T11:57:58Z,"uk dance",0.677,0.741,0,-7.235,1,0.067,0.0267,0,0.211,0.383,124.005,4
3QuJ4TqND9JE7cqAkIrgYr,"6JzWgxi0nFzcHq7cqpGbiz,7a5Srm7U661DotL6VWRmYk","Smalltown Boy","Smalltown Boy","Marcus Layton,Indiana",2022-03-25,144240,67,spotify:user:topsify,2022-08-05T11:57:58Z,"german dance",0.65,0.644,6,-8.45,0,0.234,0.236,0.0000432,0.0964,0.445,124.966,4
3S41ha2h30mwYk4NVITU5q,"2NWRfNAjBd2cUOKbE9Isda","Down On My Knee","Down On My Knee","RobbieG",2022-05-20,195050,49,spotify:user:topsify,2022-08-05T11:57:58Z,"",0.658,0.796,10,-7.331,0,0.0538,0.179,0.00000327,0.0851,0.46,122.009,4
6GomT970rCOkKAyyrwJeZi,"37czgDRfGMvgRiUKHvnnhj,0aOIluXr131XqrXFwFCFGT","Move Your Body","Move Your Body","Öwnboss,Sevek",2021-10-29,157444,84,spotify:user:topsify,2022-08-05T11:57:58Z,"brazilian edm",0.848,0.821,2,-5.408,0,0.0527,0.0169,0.000403,0.0962,0.249,125.051,4
3o5Np7dRn95xMVeLc4xSc3,"5vJKpAzRCVrkjgTYKy1fDG","Think It Over","Think It Over","Toyboy & Robin",2022-07-15,160487,49,spotify:user:topsify,2022-08-05T11:57:58Z,"deep groove house",0.627,0.935,7,-4.569,0,0.0653,0.219,0,0.28,0.604,124.087,4
