Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
01Lr5YepbgjXAWR9iOEyH1,"15iVAtD3s3FsQR4w1v6M0P","Love Sosa","Finally Rich","Chief Keef",2012-01-01,246213,81,spotify:user:dvagnb8spc28pcdoamkq1479m,2021-01-25T12:25:16Z,"chicago bop,chicago drill,chicago rap,drill,hip hop,rap,southern hip hop,trap,underground hip hop",0.772,0.413,0,-8.193,0,0.089,0.0361,0,0.111,0.211,131.965,4
6gBFPUFcJLzWGx4lenP6h2,"0Y5tJX1MQlPlqiwlOH1tJY","goosebumps","Birds In The Trap Sing McKnight","Travis Scott",2016-09-16,243836,84,spotify:user:dvagnb8spc28pcdoamkq1479m,2021-01-25T12:33:05Z,"hip hop,rap,slap house",0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,4
7GX5flRQZVHRAGd6B4TmDO,"4O15NlyKLIASxsJ0PrXPfz","XO Tour Llif3","Luv Is Rage 2","Lil Uzi Vert",2017-08-25,182706,82,spotify:user:dvagnb8spc28pcdoamkq1479m,2021-01-25T12:26:29Z,"melodic rap,philly rap,rap,trap",0.732,0.75,11,-6.366,0,0.231,0.00264,0,0.109,0.401,155.096,4
1e1JKLEDKP7hEQzJfNAgPl,"699OTQXzgjhIYAHMy9RyPD","Magnolia","Playboi Carti","Playboi Carti",2017-04-14,181812,78,spotify:user:dvagnb8spc28pcdoamkq1479m,2021-01-25T12:26:38Z,"atl hip hop,plugg,pluggnb,rap",0.791,0.582,11,-7.323,0,0.286,0.0114,0,0.35,0.443,162.991,4
5FkoSXiJPKTNyYgALRJFhD,"5SXuuuRpukkTvsLuUknva1","ORANGE SODA","DIE FOR MY BITCH","Baby Keem",2019-07-19,129882,78,spotify:user:dvagnb8spc28pcdoamkq1479m,2021-09-21T09:19:45Z,"hip hop,rap",0.83,0.564,1,-7.822,1,0.235,0.177,0,0.128,0.107,85.042,4
4Li2WHPkuyCdtmokzW2007,"3nFkdlSjzX9mRTtwJOzDYB,5K4W6rqBFWDnAN6FQUkS6x","Ni**as In Paris","Watch The Throne (Deluxe)","JAY-Z,Kanye West",2011-08-08,219333,84,spotify:user:dvagnb8spc28pcdoamkq1479m,2021-01-25T19:17:10Z,"east coast hip hop,hip hop,rap,chicago rap",0.789,0.858,1,-5.542,1,0.311,0.127,0,0.349,0.775,140.022,4
2ZRo7axmMPeSVUvDbGkJah,"15UsOTVnJzReFVN1VCnxy4","Hope","?","XXXTENTACION",2018-03-16,110886,85,spotify:user:dvagnb8spc28pcdoamkq1479m,2021-07-30T23:18:21Z,"emo rap,miami hip hop",0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,4
5PTG6rrL6EPFD9E2QMI2pl,"0WOxhx4hikIsyF3CRPLC8W","JAPAN","Dex Meets Dexter","Famous Dex",2018-04-06,142000,71,spotify:user:dvagnb8spc28pcdoamkq1479m,2021-01-25T13:05:54Z,"chicago rap,drill,rap,southern hip hop,trap,vapor trap,viral rap",0.733,0.678,6,-7.771,1,0.438,0.121,0,0.344,0.841,175.985,4
78QR3Wp35dqAhFEc2qAGjE,"5f7VJjfbwm532GiveGC0ZK,2hlmm7s2ICUX0LVIhVFlZQ","Drip Too Hard (Lil Baby & Gunna)","Drip Harder","Lil Baby,Gunna",2018-10-05,145542,84,spotify:user:dvagnb8spc28pcdoamkq1479m,2021-01-25T12:34:02Z,"atl hip hop,atl trap,rap,trap,melodic rap",0.897,0.662,1,-6.903,0,0.292,0.0852,0,0.534,0.389,112.511,4
1ZAyjvIk9YiD76yYy0TEG6,"1pPmIToKXyGdsCF6LmqLmI","Plug Walk","The World Is Yours","Rich The Kid",2018-03-30,175229,71,spotify:user:dvagnb8spc28pcdoamkq1479m,2021-01-25T12:30:33Z,"atl hip hop,hip hop,melodic rap,plugg,pop rap,rap,southern hip hop,trap,vapor trap,viral rap",0.876,0.519,11,-6.531,1,0.143,0.202,0,0.108,0.158,94.981,4
0fX4oNGBWO3dSGUZcVdVV2,"2YZyLoL8N0Wb9xBt1NhZWg","N95","Mr. Morale & The Big Steppers","Kendrick Lamar",2022-05-13,195950,85,spotify:user:dvagnb8spc28pcdoamkq1479m,2022-06-23T14:07:05Z,"conscious hip hop,hip hop,rap,west coast rap",0.79,0.67,1,-5.527,1,0.105,0.377,0.00000232,0.119,0.408,139.956,4
7sO5G9EABYOXQKNPNiE9NR,"4DdkRBBYG6Yk9Ka8tdJ9BW,0iEtIxbK0KxaSlF7G42ZOp","Ric Flair Drip (with Metro Boomin)","Without Warning","Offset,Metro Boomin",2017-10-30,172800,81,spotify:user:dvagnb8spc28pcdoamkq1479m,2021-01-25T12:29:01Z,"atl hip hop,hip hop,pop rap,rap,southern hip hop,trap,viral rap",0.88,0.428,9,-8.28,1,0.206,0.149,0.0000505,0.114,0.333,100.007,4
40iJIUlhi6renaREYGeIDS,"3TVXtAsR1Inumwj472S9r4,0Y5tJX1MQlPlqiwlOH1tJY","Fair Trade (with Travis Scott)","Certified Lover Boy","Drake,Travis Scott",2021-09-03,291175,84,spotify:user:dvagnb8spc28pcdoamkq1479m,2021-09-15T17:47:53Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap,slap house",0.666,0.465,1,-8.545,1,0.26,0.0503,0,0.215,0.292,167.937,4
0cjabhMl1rssnQmQwB3dUX,"6k8aNITazxXv9ZhVV0Pcn5","Ghoul 구울","Insomnia","Apel8",2022-06-15,115941,39,spotify:user:dvagnb8spc28pcdoamkq1479m,2022-08-03T11:32:00Z,"",0.699,0.624,10,-8.181,0,0.0493,0.145,0,0.118,0.298,154.973,4
75lcPkAkUsKWHGBlGM476R,"6Xgp2XMz1fhVYe7i6yNAax,4MCBfE4596Uoi2O4DtmEMz","1400 / 999 Freestyle","A Love Letter To You 3","Trippie Redd,Juice WRLD",2018-11-09,175954,77,spotify:user:dvagnb8spc28pcdoamkq1479m,2021-10-28T00:52:10Z,"melodic rap,rap,trap,chicago rap",0.825,0.572,6,-6.067,0,0.0864,0.0079,0,0.113,0.568,141.991,4
5IDOUaeeVGQod9ulVuDWmy,"3r0FR64spVSaBYo6DwCtnv","Flex Off","My Life","Chef Sean",2022-04-29,156948,38,spotify:user:dvagnb8spc28pcdoamkq1479m,2022-07-26T17:17:13Z,"",0.829,0.542,8,-6.567,0,0.238,0.0778,0,0.23,0.191,129.032,4
1rDQ4oMwGJI7B4tovsBOxc,"2LIk90788K0zvyj2JJVwkJ","First Class","First Class","Jack Harlow",2022-04-08,173947,90,spotify:user:dvagnb8spc28pcdoamkq1479m,2022-04-22T10:10:46Z,"deep underground hip hop,kentucky hip hop,rap",0.905,0.563,8,-6.135,1,0.102,0.0254,0.00000971,0.113,0.324,106.998,4
3MWheoUa07N7zAYQz9XJob,"6k8aNITazxXv9ZhVV0Pcn5","Dark Places","Insomnia","Apel8",2022-06-15,147272,45,spotify:user:dvagnb8spc28pcdoamkq1479m,2022-08-03T11:32:20Z,"",0.798,0.456,0,-6.618,0,0.17,0.101,0.0000189,0.106,0.414,132.137,4
3XOalgusokruzA5ZBA2Qcb,"2hlmm7s2ICUX0LVIhVFlZQ,1RyvyyTE3xzB2ZywiAwp0i,50co4Is1HCEo8bhOyUWKpn","pushin P (feat. Young Thug)","DS4EVER","Gunna,Future,Young Thug",2022-01-13,136266,81,spotify:user:dvagnb8spc28pcdoamkq1479m,2022-05-19T23:16:30Z,"atl hip hop,melodic rap,rap,trap,southern hip hop,atl trap,gangster rap,hip hop,pop rap",0.773,0.422,1,-4.572,0,0.187,0.00783,0.00693,0.129,0.488,77.502,1
29TPjc8wxfz4XMn21O7VsZ,"699OTQXzgjhIYAHMy9RyPD","Sky","Whole Lotta Red","Playboi Carti",2020-12-25,193234,83,spotify:user:dvagnb8spc28pcdoamkq1479m,2021-10-19T00:10:11Z,"atl hip hop,plugg,pluggnb,rap",0.785,0.903,2,-4.184,1,0.21,0.258,0,0.169,0.565,139.98,4
3lmsOuHwC0rqBIzO5AxlLj,"0JJ1NonKeV4GHet39UiEOZ,0m9husdLSRyNHOuxFAr5hB","I'm Ready","I'm Ready","Terell Safadi,Rayven Justice",2022-07-29,135227,35,spotify:user:dvagnb8spc28pcdoamkq1479m,2022-08-06T08:58:40Z,"bc underground hip hop,canadian hip hop,canadian underground hip hop,escape room,indie hip hop",0.795,0.56,1,-6.282,1,0.131,0.0475,0,0.0956,0.317,103.916,4
3QFInJAm9eyaho5vBzxInN,"5SXuuuRpukkTvsLuUknva1,2YZyLoL8N0Wb9xBt1NhZWg","family ties (with Kendrick Lamar)","The Melodic Blue","Baby Keem,Kendrick Lamar",2021-09-10,252262,77,spotify:user:dvagnb8spc28pcdoamkq1479m,2021-10-13T17:54:02Z,"hip hop,rap,conscious hip hop,west coast rap",0.711,0.611,1,-5.453,1,0.33,0.00588,0,0.23,0.144,134.093,4
2UVbBKQOdFAekPTRsnkzcf,"6oMuImdp5ZcFhWP0ESe6mG","Stir Fry","Culture II","Migos",2018-01-26,190288,77,spotify:user:dvagnb8spc28pcdoamkq1479m,2022-01-03T14:51:31Z,"atl hip hop,hip hop,pop rap,rap,trap",0.817,0.816,2,-5.402,1,0.269,0.00263,0,0.159,0.508,181.982,4
5qHirGR7M9tdm6C17DlzSY,"3Gm5F95VdRxW3mqCn8RPBJ","REEL IT IN","ONEPOINTFIVE","Aminé",2018-08-15,121346,75,spotify:user:dvagnb8spc28pcdoamkq1479m,2021-10-19T00:12:59Z,"hip hop,pop,portland hip hop,rap,underground hip hop",0.754,0.342,10,-8.677,0,0.0991,0.073,0,0.193,0.423,128.981,4
7DFgTQuCCIAlnqsboQCNEf,"71WhWdsVNTLxsnfe8M3Peh,4sOdMRnJPvEQJCHC4uhzns","Own Way","Own Way","¡MAYDAY!,K. Charles",2022-05-01,167409,34,spotify:user:dvagnb8spc28pcdoamkq1479m,2022-08-07T08:24:53Z,"miami hip hop,rap rock",0.711,0.647,6,-8.136,0,0.129,0.561,0.0000412,0.164,0.508,151.899,4
4KW1lqgSr8TKrvBII0Brf8,"5K4W6rqBFWDnAN6FQUkS6x","Father Stretch My Hands Pt. 1","The Life Of Pablo","Kanye West",2016-06-10,135920,82,spotify:user:dvagnb8spc28pcdoamkq1479m,2021-01-25T19:19:02Z,"chicago rap,rap",0.724,0.573,7,-4.113,1,0.0549,0.118,0,0.538,0.438,113.088,4
7rvyVWja33WG9R97oeJAjx,"0HkcYmcjrBR3SCw9Ld5VZk","Envy Me","Wildboy","Calboy",2019-05-31,120133,70,spotify:user:dvagnb8spc28pcdoamkq1479m,2021-01-25T12:32:55Z,"chicago rap,melodic rap,pop rap,trap,viral rap",0.74,0.488,1,-7.664,0,0.27,0.234,0,0.241,0.584,149.042,4
2G1tXoGBaEMJ7FKGnkf6ud,"13y7CgLHjMVRMDqxdx0Xdo,0du5cEVh5yTK9QJze8zA0C,46SHBwWsqBkxI7EeeBEQG7","Wake Up in the Sky","Evil Genius","Gucci Mane,Bruno Mars,Kodak Black",2018-12-07,203161,71,spotify:user:dvagnb8spc28pcdoamkq1479m,2021-01-25T12:59:00Z,"atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,dance pop,pop,florida rap,melodic rap,miami hip hop",0.8,0.578,4,-5.144,0,0.0485,0.00381,0,0.367,0.367,143.01,4
1fewSx2d5KIZ04wsooEBOz,"0iEtIxbK0KxaSlF7G42ZOp,2hlmm7s2ICUX0LVIhVFlZQ","Space Cadet (feat. Gunna)","NOT ALL HEROES WEAR CAPES (Deluxe)","Metro Boomin,Gunna",2018-11-06,203266,81,spotify:user:dvagnb8spc28pcdoamkq1479m,2021-01-25T13:04:48Z,"hip hop,rap,southern hip hop,trap,atl hip hop,melodic rap",0.901,0.464,5,-9.789,0,0.0645,0.368,0.0000171,0.238,0.638,109.004,4
0TzxcB6dK46vgXZT2P8qeR,"6PXS4YHDkKvl1wkIl4V8DL","Trap Queen","Fetty Wap","Fetty Wap",2015-09-25,222128,60,spotify:user:dvagnb8spc28pcdoamkq1479m,2021-01-25T20:52:35Z,"new jersey rap,pop rap,rap,southern hip hop,trap",0.746,0.873,7,-3.803,1,0.12,0.0244,0,0.356,0.816,148.075,4
