Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5Zf25eS8E1znm9mez4cGsm,"08tfDO4dSrwxax35a3HIMC","Reflections","ひとつぶの海","Toshifumi Hinata",1986-11-28,130693,67,spotify:user:chiara_visca,2021-07-13T16:15:02Z,"japanese soundtrack",0.224,0.146,9,-16.331,0,0.0338,0.961,0.712,0.113,0.142,94.255,3
599w57sIc7zTRE2f89TyiZ,"08tfDO4dSrwxax35a3HIMC","Midsummer Night","Broken Belief","Toshifumi Hinata",2019-09-19,436402,36,spotify:user:chiara_visca,2021-07-13T16:15:35Z,"japanese soundtrack",0.181,0.209,9,-20.39,0,0.0417,0.949,0.736,0.304,0.149,67.384,5
1iv1JThcpZlvOIGhIJj99g,"2sXnk24vARe4jxHbd1HbEq","There Will Be Rain","In the Wind","Million Eyes",2015-02-20,122215,54,spotify:user:chiara_visca,2021-07-13T16:16:55Z,"",0.889,0.0849,4,-21.957,1,0.0762,0.974,0.725,0.0961,0.176,115.051,3
1auPhT7AX4sBp4praEx6E4,"6dOnTTVTbQlFWF6yfD4Vw5","Merry-Go-Round of Life: Full Version (From Howl's Moving Castle) [For Piano Solo]","Merry-Go-Round of Life from Howl's Moving Castle 7 Variations","daigoro789",2019-02-25,226794,48,spotify:user:chiara_visca,2021-07-13T16:17:23Z,"",0.508,0.107,7,-24.303,0,0.0669,0.986,0.834,0.0837,0.172,78.107,1
7eXaN14pwLY8FFqYlSIk7B,"6c9mrV72IOeJ5imCUK281g","The Art Teacher","Nocturnal Daydream","Franz Gordon",2020-09-04,215583,48,spotify:user:chiara_visca,2021-07-13T16:19:15Z,"background music",0.474,0.061,11,-18.835,0,0.0583,0.974,0.946,0.0962,0.084,112.122,5
1GTC0DN9LGOdP0NdvoHyX7,"0rFHElzeddB9ymDjgpBENX","ゆめうつつ","ランプ幻想","Lamp",2008-12-03,315640,66,spotify:user:chiara_visca,2021-07-13T16:19:46Z,"japanese alternative pop",0.346,0.126,2,-16.89,1,0.0347,0.985,0.463,0.0771,0.0761,92.959,4
5AyQfkapcdfE6nl89mY1cp,"08tfDO4dSrwxax35a3HIMC","Hikari To Mizu","Broken Belief","Toshifumi Hinata",2019-09-19,277214,33,spotify:user:chiara_visca,2021-07-13T16:20:26Z,"japanese soundtrack",0.441,0.269,5,-11.454,1,0.0399,0.839,0.00302,0.0966,0.159,70.347,3
1Quuvq8tjjoGjYan1QnakF,"6dOnTTVTbQlFWF6yfD4Vw5","Fallen Down (From UNDERTALE) [For Piano Solo]","UNDERTALE Soundtrack Complete Piano Collections, Pt. 1: Tracks 1-50","daigoro789",2020-05-19,112448,52,spotify:user:chiara_visca,2021-07-13T16:20:37Z,"",0.576,0.0349,2,-32.425,1,0.0585,0.995,0.863,0.0916,0.523,111.628,3
0NxCQL5OFodinhM1GO5dxi,"08tfDO4dSrwxax35a3HIMC","Menuet","ひとつぶの海","Toshifumi Hinata",1986-11-28,106333,54,spotify:user:chiara_visca,2021-07-13T16:21:02Z,"japanese soundtrack",0.187,0.261,2,-14.007,0,0.0442,0.959,0.815,0.111,0.0936,100.311,4
5VuwAhMCz9EMg3RHL1KUEr,"1tcgfoMTT1szjUeaikxRjA,5QdS83aNvQzKgj43VTdY8d,3uirG8XMhBhvbdb9adqYMf","Merry Christmas Mr. Lawrence","1996","Ryuichi Sakamoto,Jaques Morelenbaum,Everton Nelson",1996-06-04,286466,57,spotify:user:chiara_visca,2021-07-13T16:23:03Z,"anime score,compositional ambient,japanese classical,japanese contemporary classical,japanese soundtrack",0.493,0.175,10,-18.049,0,0.036,0.949,0.777,0.112,0.278,106.903,4
40upNYu8W5yApPyPh6jfD2,"1tcgfoMTT1szjUeaikxRjA","Energy Flow","/05","Ryuichi Sakamoto",2005-09-28,244106,24,spotify:user:chiara_visca,2021-07-13T16:25:14Z,"anime score,compositional ambient,japanese classical,japanese contemporary classical,japanese soundtrack",0.41,0.128,0,-20.424,1,0.0746,0.992,0.842,0.119,0.169,177.226,4
5IeHIsegjkCOEHUrbs8hrF,"1tcgfoMTT1szjUeaikxRjA","Amore","/05","Ryuichi Sakamoto",2005-09-28,309066,41,spotify:user:chiara_visca,2021-07-13T16:25:09Z,"anime score,compositional ambient,japanese classical,japanese contemporary classical,japanese soundtrack",0.581,0.0646,5,-20.335,1,0.0457,0.99,0.909,0.103,0.0764,116.798,3
1NaJQPxsBkH8rq3Hz8PMmD,"1tcgfoMTT1szjUeaikxRjA","Fountain","/05","Ryuichi Sakamoto",2005-09-28,141800,17,spotify:user:chiara_visca,2021-07-13T16:25:35Z,"anime score,compositional ambient,japanese classical,japanese contemporary classical,japanese soundtrack",0.548,0.0124,10,-27.077,0,0.138,0.995,0.972,0.124,0.497,203.283,3
4oalMjsdxvsRhIIELqvl0c,"1tcgfoMTT1szjUeaikxRjA","Reversing","/05","Ryuichi Sakamoto",2005-09-28,212520,17,spotify:user:chiara_visca,2021-07-13T16:25:52Z,"anime score,compositional ambient,japanese classical,japanese contemporary classical,japanese soundtrack",0.479,0.0205,0,-19.441,1,0.0601,0.991,0.885,0.096,0.234,125.868,3
0leaWgd5FsHLLlLIxlNwzU,"2ZoXbxMzgxTWpNowwmuw5I","White Dawn","Gleb Kolyadin","Gleb Kolyadin",2018-02-23,150690,5,spotify:user:chiara_visca,2021-07-13T16:26:36Z,"modern progressive rock,neo-trad prog",0.376,0.301,6,-15.409,1,0.0424,0.914,0.916,0.209,0.102,175.955,3
31arsmuQH6qI0AWPENe6v4,"2ZoXbxMzgxTWpNowwmuw5I","Eidolon","Gleb Kolyadin","Gleb Kolyadin",2018-02-23,130406,3,spotify:user:chiara_visca,2021-07-13T16:26:44Z,"modern progressive rock,neo-trad prog",0.303,0.175,3,-21.564,0,0.0428,0.96,0.875,0.0975,0.181,70.98,4
4wzBihcshcPQ4Rw6lZY3jJ,"6dOnTTVTbQlFWF6yfD4Vw5","London 3 (From Professor Layton and the Unwound Future)","Professor Layton Series Piano Collections","daigoro789",2018-07-24,108394,20,spotify:user:chiara_visca,2021-07-13T16:29:05Z,"",0.413,0.00613,2,-39.965,0,0.0572,0.992,0.776,0.0849,0.11,138.54,3
67f8gukEPJGJPwQW7IdH5w,"6dOnTTVTbQlFWF6yfD4Vw5","A Quiet Town (From Professor Layton and the Unwound Future)","Professor Layton Series Piano Collections","daigoro789",2018-07-24,52053,19,spotify:user:chiara_visca,2021-07-13T16:32:09Z,"",0.543,0.00737,6,-40.567,0,0.085,0.996,0.941,0.0803,0.344,134.344,3
5fsXl3n0YuBSYQs6cYNwJi,"6dOnTTVTbQlFWF6yfD4Vw5","Folsense (From Professor Layton and the Diabolical Box)","Professor Layton Series Piano Collections","daigoro789",2018-07-24,166506,23,spotify:user:chiara_visca,2021-07-13T16:32:49Z,"",0.508,0.00256,10,-43.099,1,0.136,0.995,0.934,0.0939,0.253,131.55,4
14mAlWDT6fsiybS1pF0APL,"6dOnTTVTbQlFWF6yfD4Vw5","Norwell (From Professor Layton and the Miracle Mask)","Professor Layton Series Piano Collections","daigoro789",2018-07-24,82560,17,spotify:user:chiara_visca,2021-07-13T16:33:03Z,"",0.549,0.0053,4,-40.808,0,0.0557,0.986,0.907,0.0815,0.224,102.793,3
1ClKJISTkugKzLQHoyrkFQ,"6dOnTTVTbQlFWF6yfD4Vw5","Labyrinth City (From Professor Layton VS Phoenix Wright: Ace Attorney)","Professor Layton Series Piano Collections","daigoro789",2018-07-24,80533,15,spotify:user:chiara_visca,2021-07-13T16:33:15Z,"",0.676,0.0035,0,-42.583,0,0.0721,0.995,0.941,0.0799,0.367,124.368,3
