Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6nzXkCBOhb2mxctNihOqbb,"0QJIPDAEDILuo8AIq3pMuU","Bad Girls","Matangi","M.I.A.",2013-01-01,227520,77,spotify:user:chiara_visca,2021-08-24T19:29:16Z,"dance pop,indietronica,new rave",0.639,0.912,1,-2.621,1,0.0615,0.00107,0,0.097,0.343,143.448,4
5wA5mA9v9lPxAaSg1FagG6,"085pc2PYOi8bGKj0PNjekA","Big And Chunky","Madagascar: Escape 2 Africa (Music From The Motion Picture)","will.i.am",2008-11-04,201640,62,spotify:user:chiara_visca,2022-01-22T10:36:55Z,"dance pop,pop,pop rap",0.965,0.783,6,-6.898,0,0.098,0.141,0.000231,0.109,0.863,119.94,4
0F7FA14euOIX8KcbEturGH,"7jVv8c5Fj3E9VhNjxT4snq","Old Town Road","7 EP","Lil Nas X",2019-06-21,113000,76,spotify:user:chiara_visca,2022-01-22T10:37:04Z,"lgbtq+ hip hop,pop",0.907,0.53,1,-6.112,1,0.127,0.0578,0.00000223,0.101,0.507,135.998,4
6m6R6O2BOZDCNymhJ45spI,"1U1el3k54VvEUzo3ybLPlM","Loner","Por Vida","Kali Uchis",2015-02-04,212000,61,spotify:user:chiara_visca,2022-01-31T20:09:23Z,"colombian pop,dance pop,pop",0.722,0.675,1,-5.61,0,0.0776,0.873,0.118,0.305,0.506,120.012,4
1VNRj42vX5uNMabyKbE8sI,"2feDdbD5araYcm6JhFHHw7","All For Us","All For Us","Labrinth",2019-06-30,212248,55,spotify:user:chiara_visca,2022-01-31T20:10:53Z,"indie poptimism,pop",0.526,0.602,3,-6.619,1,0.0882,0.185,0.00215,0.281,0.209,141.978,4
6N22FZs2ZhPBYi3b9XPajV,"2feDdbD5araYcm6JhFHHw7","Still Don't Know My Name","Euphoria (Original Score from the HBO Series)","Labrinth",2019-10-04,153294,79,spotify:user:chiara_visca,2022-01-31T20:15:10Z,"indie poptimism,pop",0.316,0.63,5,-5.963,1,0.117,0.471,0.262,0.205,0.313,89.643,1
6EtKlIQmGPB9SX8UjDJG5s,"2feDdbD5araYcm6JhFHHw7","Formula","Euphoria (Original Score from the HBO Series)","Labrinth",2019-10-04,91869,81,spotify:user:chiara_visca,2022-01-31T20:15:48Z,"indie poptimism,pop",0.574,0.664,11,-6.068,1,0.0409,0.0448,0.0553,0.146,0.226,144.654,4
22WV03i2lBbwNVCE1g671p,"6U3ybJ9UHNKEdsH7ktGBZ7","151 Rum","DiCaprio 2","JID",2018-11-26,156780,70,spotify:user:chiara_visca,2022-01-31T20:34:57Z,"hip hop,rap,underground hip hop",0.756,0.867,7,-3.626,1,0.162,0.155,0.00285,0.33,0.666,129.983,4
1rOlTL4pKQ9Y1fURua4AJR,"3kjuyTCjPG1WMFCiyc5IuB","My Body Is a Cage","Neon Bible","Arcade Fire",2007,287240,62,spotify:user:chiara_visca,2022-01-31T20:35:14Z,"baroque pop,canadian indie,indie rock,modern rock,new rave,permanent wave,quebec indie,rock",0.296,0.502,0,-8.653,0,0.0336,0.315,0.0551,0.229,0.313,81.045,4
4cTm3Ev9bUvy4ChJjB1nhl,"5cj0lLjcoR7YOSnhnX0Po5","Juicy","Amala (Deluxe Version)","Doja Cat",2019-03-01,199586,65,spotify:user:chiara_visca,2022-01-31T20:38:11Z,"dance pop,pop",0.77,0.697,0,-2.644,1,0.0607,0.0817,0,0.0663,0.428,170.084,4
6GCIYIWUBSLontW6divqsw,"2auiVi8sUZo17dLy1HwrTU","Stay Flo","When I Get Home","Solange",2019-03-01,175706,63,spotify:user:chiara_visca,2022-01-31T20:38:58Z,"afrofuturism,alternative r&b,dance pop,escape room,hip pop,indie soul,neo soul,pop,r&b,urban contemporary",0.823,0.558,9,-7.119,1,0.0278,0.397,0.0000203,0.0821,0.674,155.974,4
0Pa8sgK7rrFAOLoU10eC13,"2feDdbD5araYcm6JhFHHw7","Gangster","Euphoria (Original Score from the HBO Series)","Labrinth",2019-10-04,150632,56,spotify:user:chiara_visca,2022-01-31T20:55:36Z,"indie poptimism,pop",0.771,0.675,5,-8.738,1,0.401,0.652,0.0521,0.303,0.243,134.929,4
6potEImiklXkwD9qFzpu15,"2feDdbD5araYcm6JhFHHw7","Forever","Euphoria (Original Score from the HBO Series)","Labrinth",2019-10-04,202536,77,spotify:user:chiara_visca,2022-01-31T20:59:19Z,"indie poptimism,pop",0.563,0.459,4,-7.781,0,0.0292,0.92,0.724,0.11,0.197,79.983,4
4UV1aekV3mXiKqJewTgGRo,"2feDdbD5araYcm6JhFHHw7","We All Knew","Euphoria (Original Score from the HBO Series)","Labrinth",2019-10-04,181162,58,spotify:user:chiara_visca,2022-01-31T21:00:28Z,"indie poptimism,pop",0.691,0.233,4,-13.708,0,0.0528,0.898,0.0204,0.104,0.0371,142.022,4
10hMM5nsZQf66ldBlgWBfG,"2feDdbD5araYcm6JhFHHw7,6sCbFbEjbYepqswM1vWjjs","All For Us - from the HBO Original Series Euphoria","All For Us (from the HBO Original Series Euphoria)","Labrinth,Zendaya",2019-08-04,192986,78,spotify:user:chiara_visca,2022-01-31T21:01:09Z,"indie poptimism,pop,dance pop,post-teen pop",0.348,0.652,3,-7.145,1,0.0931,0.0165,0.000264,0.33,0.172,70.956,4
18wCJcoFmXZ0jfrFhF6cYS,"2feDdbD5araYcm6JhFHHw7","Mount Everest","Mount Everest","Labrinth",2019-06-21,157476,0,spotify:user:chiara_visca,2022-01-31T21:05:19Z,"indie poptimism,pop",0.46,0.426,0,-7.286,0,0.218,0.232,0.0754,0.0847,0.432,88.802,4
5GkQIP5mWPi4KZLLXeuFTT,"66CXWjxzNUsdJxJ2JdwvnR,5cj0lLjcoR7YOSnhnX0Po5","motive (with Doja Cat)","Positions","Ariana Grande,Doja Cat",2020-10-30,167989,79,spotify:user:chiara_visca,2022-02-02T16:44:41Z,"dance pop,pop",0.789,0.742,10,-5.664,0,0.0652,0.0681,0,0.166,0.661,116.965,4
3e9HZxeyfWwjeyPAMmWSSQ,"66CXWjxzNUsdJxJ2JdwvnR","thank u, next","thank u, next","Ariana Grande",2019-02-08,207320,82,spotify:user:chiara_visca,2022-02-02T16:47:06Z,"dance pop,pop",0.717,0.653,1,-5.634,1,0.0658,0.229,0,0.101,0.412,106.966,4
6ocbgoVGwYJhOv1GgI9NsF,"66CXWjxzNUsdJxJ2JdwvnR","7 rings","thank u, next","Ariana Grande",2019-02-08,178626,83,spotify:user:chiara_visca,2022-02-02T16:47:11Z,"dance pop,pop",0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,4
3jagJCUbdqhDSPuxP8cAqF,"2wIVse2owClT7go1WT98tk","Work It","Under Construction","Missy Elliott",2002-11-11,263226,70,spotify:user:chiara_visca,2022-02-02T19:30:43Z,"dance pop,hip hop,hip pop,pop,pop rap,r&b,rap,urban contemporary,virginia hip hop",0.884,0.677,1,-5.603,1,0.283,0.0778,0,0.0732,0.584,101.868,4
4wH4dJgrsxONID6KS2tDQM,"2jw70GZXlAI8QzWeY2bgRc","Maneater","Loose","Nelly Furtado",2006-01-01,258893,80,spotify:user:chiara_visca,2022-02-03T19:31:32Z,"canadian latin,canadian pop,dance pop,pop,pop rap",0.796,0.777,6,-4.81,1,0.0397,0.0261,0.000358,0.121,0.787,132.722,4
6ic8OlLUNEATToEFU3xmaH,"26dSoYclwsYLMAKD3tpOr4","Gimme More","Blackout","Britney Spears",2007-10-25,251240,79,spotify:user:chiara_visca,2022-02-03T19:33:37Z,"dance pop,pop,post-teen pop",0.788,0.844,2,-3.131,1,0.0334,0.25,0.000678,0.0723,0.382,113.324,4
2gam98EZKrF9XuOkU13ApN,"2jw70GZXlAI8QzWeY2bgRc,5Y5TRrQiqgUO4S36tzjIRZ","Promiscuous","Loose","Nelly Furtado,Timbaland",2006-01-01,242293,82,spotify:user:chiara_visca,2022-02-03T19:34:40Z,"canadian latin,canadian pop,dance pop,pop,pop rap,hip hop,hip pop,urban contemporary",0.808,0.97,10,-6.098,0,0.0506,0.0569,0.0000613,0.154,0.868,114.328,4
22UDw8rSfLbUsaAGTXQ4Z8,"5T0MSzX9RC5NA6gAI6irSn,5K4W6rqBFWDnAN6FQUkS6x","American Boy","Shine","Estelle,Kanye West",2008-03-28,284733,79,spotify:user:chiara_visca,2022-02-03T19:40:59Z,"neo soul,r&b,chicago rap,rap",0.727,0.729,0,-2.99,1,0.326,0.171,0,0.07,0.512,117.932,4
1AWQoqb9bSvzTjaLralEkT,"31TPClRtHm23RisEBtV3X7","Rock Your Body","Justified","Justin Timberlake",2002-11-04,267266,77,spotify:user:chiara_visca,2022-02-03T19:42:26Z,"dance pop,pop",0.892,0.714,4,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972,4
0O45fw2L5vsWpdsOdXwNAR,"31TPClRtHm23RisEBtV3X7,5Y5TRrQiqgUO4S36tzjIRZ","SexyBack (feat. Timbaland)","FutureSex/LoveSounds","Justin Timberlake,Timbaland",2006-09-12,242733,78,spotify:user:chiara_visca,2022-02-03T19:47:15Z,"dance pop,pop,hip hop,hip pop,pop rap,urban contemporary",0.967,0.583,7,-5.562,0,0.0789,0.0584,0,0.0519,0.964,117,4
6ldwfK0yWgTAlmIfuQkTYN,"26dSoYclwsYLMAKD3tpOr4","I'm a Slave 4 U","Britney (Digital Deluxe Version)","Britney Spears",2001-10-31,203600,70,spotify:user:chiara_visca,2022-02-19T14:39:57Z,"dance pop,pop,post-teen pop",0.847,0.843,5,-3.579,0,0.106,0.415,0.000134,0.107,0.963,110.027,4
6LtHYDgYHRCHoKK3snfr2w,"2feDdbD5araYcm6JhFHHw7,6sCbFbEjbYepqswM1vWjjs","I’m Tired (with Zendaya) - Bonus Track","I’m Tired (with Zendaya) - Bonus Track","Labrinth,Zendaya",2022-02-28,187943,72,spotify:user:chiara_visca,2022-02-28T10:54:14Z,"indie poptimism,pop,dance pop,post-teen pop",0.375,0.133,0,-10.624,0,0.0352,0.651,0,0.0695,0.192,131.721,4
45Nc6nYgV3yBvAeRaZt689,"5cj0lLjcoR7YOSnhnX0Po5","Alone","Planet Her","Doja Cat",2021-06-25,228866,65,spotify:user:chiara_visca,2022-04-01T16:42:49Z,"dance pop,pop",0.691,0.656,8,-5.864,0,0.172,0.543,0.0000122,0.095,0.746,169.973,4
