Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3Y91fIpStxQrUaXuaTbGVv,"37J1PlAkhRK7yrZUtqaUpQ","Lone Digger","<I°_°I>","Caravan Palace",2015-10-16,229804,57,spotify:user:chiara_visca,2022-05-15T21:50:09Z,"electro swing,nu jazz",0.767,0.938,5,-4.433,0,0.0505,0.592,0.0193,0.118,0.868,123.99,4
0VskOKFbd0whdSgcaDJhjz,"37J1PlAkhRK7yrZUtqaUpQ","Aftermath","<I°_°I>","Caravan Palace",2015-10-16,185869,48,spotify:user:chiara_visca,2022-05-15T21:50:13Z,"electro swing,nu jazz",0.614,0.663,8,-7.105,1,0.0406,0.232,0.00318,0.297,0.403,140.018,4
1RwuUJfkv5h5DqgUwNOkcs,"37J1PlAkhRK7yrZUtqaUpQ","Moonshine","Chronologic","Caravan Palace",2019-08-30,213800,42,spotify:user:chiara_visca,2022-05-15T21:50:32Z,"electro swing,nu jazz",0.752,0.742,8,-6.761,0,0.0354,0.361,0.000561,0.0997,0.279,116.989,4
2h4XzgxmFvYR4XsCEcnY7J,"37J1PlAkhRK7yrZUtqaUpQ","Plume","Chronologic","Caravan Palace",2019-08-30,185703,38,spotify:user:chiara_visca,2022-05-15T21:50:37Z,"electro swing,nu jazz",0.755,0.777,0,-4.173,0,0.0364,0.69,0.177,0.172,0.771,110.035,4
40OuGHvwKGA9FKo1lECOZV,"37J1PlAkhRK7yrZUtqaUpQ","Comics","<I°_°I>","Caravan Palace",2015-10-16,212596,53,spotify:user:chiara_visca,2022-05-15T21:50:54Z,"electro swing,nu jazz",0.554,0.848,1,-4.857,1,0.0817,0.000867,0.0301,0.42,0.562,90.001,4
5O8MtMBL6XFGyqy41XgfLE,"37J1PlAkhRK7yrZUtqaUpQ","Russian","<I°_°I>","Caravan Palace",2015-10-16,241366,39,spotify:user:chiara_visca,2022-05-15T21:51:04Z,"electro swing,nu jazz",0.803,0.881,1,-6.626,0,0.188,0.167,0.00196,0.221,0.784,125.985,4
0vG0CGpa7yahUpQVaRchrp,"37J1PlAkhRK7yrZUtqaUpQ","Lay Down","<I°_°I>","Caravan Palace",2015-10-16,188900,39,spotify:user:chiara_visca,2022-05-15T21:51:21Z,"electro swing,nu jazz",0.767,0.868,8,-5.18,0,0.0438,0.0701,0.837,0.127,0.707,94.019,4
2f5x20mPk1NmM9c5IaMP2q,"37J1PlAkhRK7yrZUtqaUpQ","Midnight","<I°_°I>","Caravan Palace",2015-10-16,205825,35,spotify:user:chiara_visca,2022-05-15T21:51:31Z,"electro swing,nu jazz",0.585,0.839,6,-6.778,1,0.0468,0.449,0.438,0.356,0.485,95.006,4
1Ql0ya4oA8HlthXjb1X7VZ,"37J1PlAkhRK7yrZUtqaUpQ","Wonderland","<I°_°I>","Caravan Palace",2015-10-16,190554,48,spotify:user:chiara_visca,2022-05-15T21:51:38Z,"electro swing,nu jazz",0.771,0.817,6,-4.688,0,0.265,0.314,0.00338,0.0761,0.523,104.04,4
6viYNPPQasixMdM8LTlbPX,"37J1PlAkhRK7yrZUtqaUpQ","Black Betty","Black Betty","Caravan Palace",2017-05-26,189956,45,spotify:user:chiara_visca,2022-05-15T21:51:46Z,"electro swing,nu jazz",0.832,0.948,4,-3.979,0,0.0502,0.192,0.000117,0.0808,0.864,121.979,4
69R1HdSdsFklxxZzSiVfYc,"37J1PlAkhRK7yrZUtqaUpQ","Rock It for Me","Panic","Caravan Palace",2013-09-24,192213,39,spotify:user:chiara_visca,2022-05-15T21:51:56Z,"electro swing,nu jazz",0.78,0.953,1,-3.989,1,0.2,0.446,0.00489,0.273,0.706,105.959,4
4AE0nFpG3vwXfxtDVMBAzB,"37J1PlAkhRK7yrZUtqaUpQ","Dramophone","Panic","Caravan Palace",2013-09-24,204626,36,spotify:user:chiara_visca,2022-05-15T21:52:02Z,"electro swing,nu jazz",0.843,0.89,1,-4.974,1,0.26,0.348,0.000435,0.348,0.87,126.054,4
6EtB9dU4XMEpo3rhOuSF2W,"37J1PlAkhRK7yrZUtqaUpQ","Maniac","Panic","Caravan Palace",2013-09-24,252306,29,spotify:user:chiara_visca,2022-05-15T21:52:18Z,"electro swing,nu jazz",0.858,0.777,0,-4.619,0,0.0322,0.395,0.205,0.103,0.908,111.989,4
1IVt6w5BKERcFeJEDMyjec,"37J1PlAkhRK7yrZUtqaUpQ","Panic","Panic","Caravan Palace",2013-09-24,245640,37,spotify:user:chiara_visca,2022-05-15T21:52:35Z,"electro swing,nu jazz",0.919,0.843,5,-6.074,0,0.154,0.374,0.729,0.363,0.92,125.004,4
2RDSeMQ1sAzhX5smkQZIVd,"37J1PlAkhRK7yrZUtqaUpQ","Jolie Coquine","Caravan Palace","Caravan Palace",2008-10-20,224573,29,spotify:user:chiara_visca,2022-05-15T22:04:29Z,"electro swing,nu jazz",0.747,0.947,4,-4.952,0,0.381,0.00727,0,0.159,0.603,125.041,4
3UF7L9PX5Pnovi2DKFnT0W,"37J1PlAkhRK7yrZUtqaUpQ","Brotherswing","Caravan Palace","Caravan Palace",2008-10-20,221960,24,spotify:user:chiara_visca,2022-05-15T22:04:57Z,"electro swing,nu jazz",0.615,0.871,7,-4.79,0,0.141,0.00223,0.00639,0.0898,0.673,132.006,4
3isCEopsp4jvThP8WbHK7a,"7zhakwCorTNUwe17WxD3kh","Why You Got to Be","Music for Code","nervous_testpilot",2016-01-21,230400,28,spotify:user:chiara_visca,2022-05-15T22:08:34Z,"hyperpop",0.531,0.924,0,-7.383,1,0.0429,0.016,0.259,0.0862,0.295,124.888,4
6kxLMWXnmaqALUNsNeXtSc,"7zhakwCorTNUwe17WxD3kh","Make the Symbols Work","Music for Code","nervous_testpilot",2016-01-21,318504,17,spotify:user:chiara_visca,2022-05-15T22:08:37Z,"hyperpop",0.75,0.726,8,-8.936,1,0.0401,0.499,0.889,0.617,0.202,107.037,4
1JgDJeVcCxOJiUCODgd0kV,"7zhakwCorTNUwe17WxD3kh","Music for Code","Music for Code","nervous_testpilot",2016-01-21,338000,18,spotify:user:chiara_visca,2022-05-15T22:08:40Z,"hyperpop",0.576,0.887,0,-6.978,0,0.0341,0.307,0.918,0.171,0.239,124.966,4
2yKHHjOqWDrfRb0pHkdSLv,"7zhakwCorTNUwe17WxD3kh","Wishbone","Music for Code","nervous_testpilot",2016-01-21,292173,34,spotify:user:chiara_visca,2022-05-15T22:08:44Z,"hyperpop",0.583,0.72,5,-9.205,0,0.0369,0.0461,0.903,0.0689,0.112,91.927,4
