Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2Dmby8seQnaE3cAuA5Wmfz,"4eiYHJLlxeKQXAw0UDoXJl","The Dragonborn Comes - Skyrim","A Bard's Side Quest","Erutan",2013-01-18,194599,0,spotify:user:chiara_visca,2021-12-23T22:10:34Z,"fantasy,medieval folk",0.322,0.185,7,-11.958,0,0.0341,0.875,0.143,0.171,0.148,157.787,3
1WRGNdhpSzXbHrZZkiO68Y,"7Ho9ldCZU5NDAvEvWU56Wv","Viking Ghosts On Scottish Isles","Fantasy On Gothic & Medieval Folk Music for Celtic Renaissance Lute and Classical Guitar","Andrei Krylov",2012-11-15,141316,35,spotify:user:chiara_visca,2021-12-23T22:10:52Z,"classical guitar,sleep",0.597,0.2,4,-15.22,0,0.053,0.95,0.8,0.0971,0.286,72.076,4
56cvbHWX7Lf6JXvjQrMxh0,"2XDOBQOobSTxtmFhWKdm6x","Camelot","Camelot","Brandon Fiechter",2014-07-29,259120,37,spotify:user:chiara_visca,2021-12-23T22:11:26Z,"middle earth",0.596,0.505,4,-11.06,0,0.0266,0.664,0.849,0.145,0.867,182.097,3
6xAV3fiCZPenaUQall9RO9,"6Y9L2UoclnoOMGgKfijaNH,3FxLCzDSgQWzTULln1Jq3V","Flotsam Tavern (From The Witcher 2)","Flotsam Tavern (From The Witcher 2)","Alina Gingertail,Dryante",2020-10-20,104909,28,spotify:user:chiara_visca,2022-02-10T17:33:38Z,"fantasy",0.362,0.327,2,-10.636,0,0.029,0.938,0.945,0.0885,0.38,165.066,3
2GWaK7MbMhGtVpgu6xY3A6,"6Y9L2UoclnoOMGgKfijaNH,3FxLCzDSgQWzTULln1Jq3V","The Slopes Of The Blessure (From Witcher 3)","The Slopes Of The Blessure (From Witcher 3)","Alina Gingertail,Dryante",2021-01-05,183937,23,spotify:user:chiara_visca,2022-02-10T17:34:02Z,"fantasy",0.334,0.201,2,-13.657,0,0.0298,0.829,0.319,0.202,0.178,79.938,4
0gHtFVzJxvmH6OXYLXlmY3,"6Y9L2UoclnoOMGgKfijaNH","The Wolven Storm (Priscilla's Song)","The Wolven Storm (Priscilla's Song)","Alina Gingertail",2020-05-29,217600,35,spotify:user:chiara_visca,2022-02-10T17:39:45Z,"fantasy",0.585,0.157,2,-11.492,0,0.0294,0.937,0.0000244,0.119,0.373,74.732,4
5P6qtlefywvJdjGQYNapLi,"6Y9L2UoclnoOMGgKfijaNH","Memories of Mother (From God of War) - Cover","Memories of Mother (From God of War) [Cover]","Alina Gingertail",2022-02-04,187001,24,spotify:user:chiara_visca,2022-02-10T17:40:05Z,"fantasy",0.0642,0.247,11,-8.876,0,0.036,0.96,0.936,0.101,0.0595,68.393,4
7dv5myHjTkddqZsePs4Pg9,"6Y9L2UoclnoOMGgKfijaNH","In the Blood (From Hades)","In the Blood (From Hades)","Alina Gingertail",2021-04-09,242001,36,spotify:user:chiara_visca,2022-04-02T14:22:43Z,"fantasy",0.505,0.456,5,-6.608,1,0.0259,0.735,0.0000368,0.118,0.115,162.051,4
6fBMk8ddNvl2noo79kArHa,"4eiYHJLlxeKQXAw0UDoXJl","Temple of the Moon - World of Warcraft","A Bard's Side Quest","Erutan",2013-01-18,247344,28,spotify:user:chiara_visca,2022-04-02T16:16:44Z,"fantasy,medieval folk",0.24,0.171,4,-13.945,0,0.0408,0.909,0.00154,0.121,0.078,86.356,3
5sb3Aj9SqXOMEvLaT33XFI,"6viWbHUkojc2MQe5nSYiZk","Runaway - Cover","The Harp Corner","Naomi SV",2021-07-28,231814,10,spotify:user:chiara_visca,2022-06-25T16:44:08Z,"",0.426,0.217,4,-15.746,0,0.0662,0.947,0.838,0.366,0.0382,115.391,4
761SMhVKJlJlUCUveNcq1m,"07vycW8ICLf5hKb22PFWXw","Kaer Morhen","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Marcin Przybyłowicz",2015-08-26,155109,55,spotify:user:chiara_visca,2022-06-29T19:27:03Z,"orchestral soundtrack,scorecore,video game music",0.396,0.329,2,-13.481,0,0.032,0.796,0.878,0.126,0.0561,139.853,4
1mevQF6EVyetitlgKAyKUI,"3erL8NEQbmmOXhO6yyVWxO,13hvH9izkLYRVKJ0AaAK1a","Harvest Dawn (From The Elder Scrolls IV Oblivion)","Fantasy Music Collection, Vol. 1","Celestial Aeon Project,Payu",2021-04-30,139167,26,spotify:user:chiara_visca,2022-07-16T13:22:40Z,"commons,video game music",0.334,0.129,2,-16.502,0,0.0343,0.656,0.61,0.0919,0.109,89.037,4
