Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2MSgFefjK0T7Iwjvr3OKqV,"7y97mc3bZRFXzT2szRM4L4,2YdRnOqBXCl9g8xCLcGh8C","Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.","Chopin: Piano Sonata No. 2, Nocturnes, Barcarolle & Scherzo","Frédéric Chopin,Mikhail Pletnev",2000-01-01,259493,64,spotify:user:,2022-07-18T14:32:37Z,"classical,early romantic era,polish classical,russian classical piano",0.225,0.0047,1,-30.928,0,0.0509,0.992,0.881,0.0722,0.186,163.665,4
3DNRdudZ2SstnDCVKFdXxG,"2wOqMjp9TyABvtHdOSOTUS,4LYCuV8d6rylb6zjv2k03l","Sonata No. 14 Moonlight in C-Sharp Minor, Op. 27 No. 2: I. Adagio sostenuto","Beethoven: Piano Sonatas, Vol.3","Ludwig van Beethoven,Paul Lewis",2007-09-25,315426,67,spotify:user:,2022-07-18T14:32:37Z,"classical,classical era,early romantic era,german romanticism,british classical piano,classical piano",0.184,0.00527,1,-37.264,0,0.0432,0.995,0.887,0.173,0.151,170.612,3
5fdp9rXfEixCGLM1Og4EN1,"459INk8vcC0ebEef82WjIK,5kgAnLGI2biBHvY7hDsF7P","Gnossienne No. 1","Gnossienne No. 1","Erik Satie,Alena Cherny",2013,296480,63,spotify:user:,2022-07-18T14:32:37Z,"classical,early avant garde,early modern classical,impressionism,post-romantic era,ukrainian classical piano",0.376,0.00579,5,-31.615,0,0.0576,0.996,0.944,0.0882,0.0369,71.827,4
123zFAGx0F5ScgrLrCWGDX,"3MKCzCnpzw3TjUYs2v7vDA,2vXeB7c78tU2l7Mad2sjx8,23BiSNXm5UaRFuusoWisYO,1b5qV5N8eWF48rJSGIOEBx","Variations on a Rococo Theme, Op. 33, TH 57: Var: VI. Andante","Elgar: Cello Concerto / Tchaikovsky: Rococo Variations / Dvořák: Silent Woods; Rondo","Pyotr Ilyich Tchaikovsky,Jean-Guihen Queyras,BBC Symphony Orchestra,Jiří Bělohlávek",2013-09-23,156573,55,spotify:user:,2022-07-18T14:32:37Z,"classical,late romantic era,russian romanticism,classical cello,classical performance,british orchestra,orchestra,theme,orchestral performance",0.119,0.031,2,-31.179,1,0.0483,0.964,0.165,0.111,0.0388,88.858,4
2u9VGZmVz7Rm01SfDgzcfA,"1385hLNbrnbCJGokfH2ac2,1YZhNFBxkEB5UKTgMDvot4","Liebestraum No. 3 in A-Flat Major, S. 541 / 3","Liszt - My Piano Hero","Franz Liszt,Lang Lang",2011-08-22,293146,59,spotify:user:,2022-07-18T14:32:37Z,"classical,late romantic era,chinese classical performance,chinese classical piano,classical performance,classical piano",0.279,0.0292,8,-26.804,1,0.0406,0.987,0.902,0.104,0.0338,136.732,3
4b59u2E74KcDuyHCRBkf5v,"2p0UyoPfYfI76PCStuXfOP,1385hLNbrnbCJGokfH2ac2,0bouHpX4JiuPnIfP2jFxRi","Ständchen, S. 560 (Trans. from Schwanengesang No. 4, D. 957)","Schubert","Franz Schubert,Franz Liszt,Khatia Buniatishvili",2019-03-15,442172,56,spotify:user:,2022-07-18T14:32:37Z,"classical,classical era,early romantic era,late romantic era,caucasian classical piano,classical piano",0.209,0.00299,2,-33.974,1,0.0491,0.992,0.955,0.104,0.039,66.685,3
1ThKqYwGxzcxIrYsjfVr85,"3UyRRlpJO3uCojQkBibqNZ,0iqgjl0OG3z53PZVIB7ZyD","Sonata No. 42 in D Minor (Arr. Ólafsson)","Cimarosa: Sonata No. 42 in D Minor (Arr. Ólafsson)","Domenico Cimarosa,Víkingur Ólafsson",2021-07-16,143531,50,spotify:user:,2022-07-18T14:32:37Z,"classical era,classical piano,nordic classical piano",0.33,0.00274,2,-37.342,0,0.0617,0.992,0.908,0.0668,0.188,61.088,4
5nFCdayR5pAEVvQw7ZAIuQ,"5aIqB5nVVvmFsvSdExz408,2Habwewg0ZpMr2YWSTANE9","Siciliano (After Erbarme dich from Matthäus-Passion, BWV 244, No. 39)","Piano Songbook","Johann Sebastian Bach,Martin Stadtfeld",2021-04-09,125200,53,spotify:user:,2022-07-18T14:32:37Z,"baroque,classical,early music,german baroque,classical piano,german classical piano",0.296,0.0644,7,-22.715,0,0.0405,0.994,0.879,0.0748,0.354,79.031,4
1upQiytDIEZfl9ItruoXuC,"1QL7yTHrdahRMpvNtn6rI2,6bk0YPhJSL44WBtoGe4GI6,77CaCn32H4mOMQA7UElzfF","Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande","Handel Sarabande","George Frideric Handel,Alexander Briger,Academy of St. Martin in the Fields",2002,207266,63,spotify:user:,2022-07-18T14:32:37Z,"baroque,classical,early music,english baroque,german baroque,british orchestra,chamber orchestra,classical performance",0.0939,0.0336,2,-24.041,0,0.0606,0.927,0.83,0.0954,0.0516,67.359,3
7bAN5DH2H17rt4x3dTid0R,"3DszoGPSqitSg2M8FE7hV6,3GM3HF8khN1HV29tHNKExh","7 Peces de joventut (Youthful Pieces): Record","Blancafort, M.: Piano Music, Vol. 1 - Peces De Joventut / Cancons De Muntanya / Notes D'Antany","Manuel Blancafort,Miquel Villalba",2003-08-01,146880,50,spotify:user:,2022-07-18T14:32:37Z,"spanish classical piano",0.458,0.00493,11,-32.958,1,0.0498,0.995,0.965,0.0674,0.0717,136.549,1
