Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6JVeLgzmVXd3ufAbRZ4rLQ,"01Er12nK5rrnHx8usFPJAs","King Arthur","Camelot","Derek Fiechter",2014-07-29,203294,36,spotify:user:1rs6m0cf2fmlxervy1cqo8pj2,2018-05-29T04:14:51Z,"middle earth",0.603,0.283,4,-13.144,0,0.0246,0.793,0.777,0.131,0.644,170.025,3
70LA1qeP7w3yVVbW1R56IA,"2pxii0UbnSs9vWOt4QcmHN","Game of Thrones Theme","Game of Thrones Theme","Tomas Hilber",2017-06-13,142659,40,spotify:user:1rs6m0cf2fmlxervy1cqo8pj2,2018-03-16T23:09:42Z,"chill guitar",0.814,0.114,0,-19.22,0,0.0635,0.979,0.969,0.111,0.383,120.244,3
3mm0nk8uW2rzwQltXgEse6,"7GvvZWqI8qi9E13IAbYnXE","The Ludlows","Classical Romantic Movies Themes on Guitar","Cristopher Varela",2017-01-30,154984,42,spotify:user:1rs6m0cf2fmlxervy1cqo8pj2,2018-05-13T02:51:40Z,"chill guitar,focus",0.635,0.193,6,-11.838,1,0.0476,0.96,0.851,0.109,0.318,147.511,3
6XnLiFDUqTyniSSSSRZGVo,"37NDlUy02FmEgMUt5E8tTE","Medieval Tavern","Traditional Irish Jigs and Reels","Brighter Note",2015-06-11,77897,20,spotify:user:1rs6m0cf2fmlxervy1cqo8pj2,2018-05-29T04:06:59Z,"",0.5,0.275,9,-15.503,0,0.0315,0.345,0.0522,0.12,0.0389,100.14,4
4AyL8u1g3ruazEAlu1bllD,"0jclSzw2eZAu8huZPEcOJ9","Ave Nocturne","Carousel","John A. Nilson",2017-01-30,204445,42,spotify:user:1rs6m0cf2fmlxervy1cqo8pj2,2018-05-23T01:48:42Z,"calming instrumental,chill guitar,focus",0.816,0.123,2,-16.456,1,0.0649,0.968,0.799,0.11,0.156,120.143,4
5hkeScB45bH6nxWiGhLbpt,"6aup7uM4yUHX9NLba0sxmt","Distant Fortune","Yellow Hills","Daniel Kaede",2017-03-17,201865,0,spotify:user:1rs6m0cf2fmlxervy1cqo8pj2,2018-05-23T01:49:19Z,"calming instrumental,chill guitar,focus",0.696,0.238,7,-14.688,1,0.0459,0.963,0.9,0.114,0.395,121.319,4
5JitZNsoYf7zzF2MDcwO8G,"5kIhxGyX6VtcsLk88dwYED","Bibo No Aozora","Bibo No Aozora","Henrik Janson",2017-01-03,186791,31,spotify:user:1rs6m0cf2fmlxervy1cqo8pj2,2018-05-23T03:27:20Z,"calming instrumental,chill guitar",0.485,0.115,9,-13.514,0,0.0379,0.954,0.955,0.11,0.112,116.67,4
2cvTKsArRvSBWid2gRrJxo,"6rWVhqYY4PMyTdfA48grAa","Pavane, Op. 50","Dramatique Musique Classique","Marcel Depuis",2017-01-02,208596,36,spotify:user:1rs6m0cf2fmlxervy1cqo8pj2,2018-05-23T04:18:19Z,"chill guitar,focus",0.667,0.0792,6,-22.079,0,0.0484,0.962,0.924,0.111,0.121,127.962,4
0T3Ae4dQqrKJ5FNVNacnhY,"43F9YqxW89cDIMwYv7Ruoy","Sweden","Modern Composers on Guitar","Sergei Baronin",2017-01-02,161009,36,spotify:user:1rs6m0cf2fmlxervy1cqo8pj2,2018-05-23T04:18:43Z,"chill guitar,focus",0.457,0.111,2,-15.407,1,0.0479,0.875,0.401,0.0974,0.149,169.319,4
37OMRuBDQJMBXC4rh0Mc4a,"6aup7uM4yUHX9NLba0sxmt","Northern","Yellow Hills","Daniel Kaede",2017-03-17,171624,0,spotify:user:1rs6m0cf2fmlxervy1cqo8pj2,2018-05-23T04:18:55Z,"calming instrumental,chill guitar,focus",0.571,0.109,9,-16.352,1,0.0468,0.953,0.906,0.103,0.155,83.525,4
