Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6AAZigYqOch79lKcrSBOv0,"05fG473iIaoy82BF1aGhL8","Killpop",".5: The Gray Chapter (Special Edition)","Slipknot",2014-10-15,225066,63,spotify:user:chiara_visca,2022-06-06T15:20:55Z,"alternative metal,nu metal,rap metal",0.306,0.926,1,-2.754,0,0.0912,0.000311,0.000644,0.0776,0.483,158.47,4
6zZl4RKS9pRRlQHIk4CG7A,"05fG473iIaoy82BF1aGhL8","Danger - Keep Away","Vol. 3: The Subliminal Verses","Slipknot",2004,193906,50,spotify:user:chiara_visca,2022-06-13T10:30:42Z,"alternative metal,nu metal,rap metal",0.195,0.342,7,-8.047,1,0.0282,0.95,0.00754,0.191,0.0424,69.081,4
61mWefnWQOLf90gepjOCb3,"05fG473iIaoy82BF1aGhL8","Duality","Vol. 3: The Subliminal Verses","Slipknot",2004,252613,79,spotify:user:chiara_visca,2022-06-06T15:19:53Z,"alternative metal,nu metal,rap metal",0.354,0.982,4,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,4
3RAFcUBrCNaboRXoP3S5t1,"05fG473iIaoy82BF1aGhL8","Psychosocial","All Hope Is Gone (10th Anniversary)","Slipknot",2008-08-20,284120,75,spotify:user:chiara_visca,2022-06-06T15:19:57Z,"alternative metal,nu metal,rap metal",0.568,0.981,2,-3.889,1,0.0887,0.00269,0.00275,0.0243,0.307,135.146,4
6wqJeItl3Vc3az4ZicSQAB,"05fG473iIaoy82BF1aGhL8","Before I Forget","Vol. 3: The Subliminal Verses","Slipknot",2004,278600,76,spotify:user:chiara_visca,2022-06-06T15:19:59Z,"alternative metal,nu metal,rap metal",0.291,0.974,6,-2.997,0,0.171,0.0177,0.00000544,0.886,0.348,134.724,4
7eRG7KNDIgjIk3nvykmhOT,"05fG473iIaoy82BF1aGhL8","Dead Memories","All Hope Is Gone (10th Anniversary)","Slipknot",2008-08-20,268586,58,spotify:user:chiara_visca,2022-06-06T15:20:20Z,"alternative metal,nu metal,rap metal",0.547,0.963,4,-2.337,0,0.0744,0.000443,0.0251,0.353,0.441,130.061,4
1ckta9xwbEcxLaGClreVRf,"05fG473iIaoy82BF1aGhL8","Sulfur","All Hope Is Gone (10th Anniversary)","Slipknot",2008-08-20,277800,56,spotify:user:chiara_visca,2022-06-06T15:20:22Z,"alternative metal,nu metal,rap metal",0.278,0.985,11,-1.934,1,0.129,0.000234,0.000235,0.104,0.342,104.803,4
5hheGdf1cb4rK0FNiedCfK,"05fG473iIaoy82BF1aGhL8","The Devil in I",".5: The Gray Chapter (Special Edition)","Slipknot",2014-10-15,342821,73,spotify:user:chiara_visca,2022-06-06T15:20:06Z,"alternative metal,nu metal,rap metal",0.398,0.939,9,-2.865,0,0.0648,0.00591,0.000881,0.357,0.235,92.027,4
5IX4TbIR5mMHGE4wiWwKW0,"2ye2Wgw4gimLv2eAKyk1NB","One","...And Justice For All","Metallica",1988-08-25,447440,74,spotify:user:chiara_visca,2022-06-06T15:19:56Z,"hard rock,metal,old school thrash,rock,thrash metal",0.437,0.695,7,-9.447,1,0.0617,0.00111,0.0857,0.124,0.413,102.178,3
6W21LNLz9Sw7sUSNWMSHRu,"3RNrq3jvMZxD9ZyoOZbQOD","Freak On a Leash","Follow The Leader","Korn",1998-08-18,255733,75,spotify:user:chiara_visca,2022-06-06T15:20:47Z,"alternative metal,funk metal,nu metal,rap metal,rock",0.353,0.898,2,-5.877,1,0.052,0.0000223,0.105,0.39,0.525,103.293,4
