Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1giv0E64m5A7wzGCIva4ug,"1uRpg2s2jNaxbmoNiJDGfd","King of Loss","The Perfect Element, Pt. I","Pain of Salvation",2000,586573,17,spotify:user:chiara_visca,2022-06-06T11:39:23Z,"neo-progressive,prog metal,progressive metal,swedish progressive metal,symphonic rock",0.306,0.684,5,-6.646,0,0.0357,0.106,0,0.252,0.19,74.181,4
0dccQvzPhrZJvU8mmHbGuR,"1uRpg2s2jNaxbmoNiJDGfd","ACCELERATOR","ACCELERATOR","Pain of Salvation",2020-07-03,331000,25,spotify:user:chiara_visca,2022-06-06T16:31:29Z,"neo-progressive,prog metal,progressive metal,swedish progressive metal,symphonic rock",0.518,0.647,11,-11.024,0,0.0899,0.0102,0.000217,0.102,0.298,127.393,5
2xh7Dy2W1KJwmOxp44Y6rx,"1uRpg2s2jNaxbmoNiJDGfd","Ending Theme","Remedy Lane","Pain of Salvation",2002,299400,28,spotify:user:chiara_visca,2022-06-06T11:39:29Z,"neo-progressive,prog metal,progressive metal,swedish progressive metal,symphonic rock",0.51,0.702,4,-5.829,0,0.0289,0.00845,0.000496,0.486,0.185,133.052,4
7vGOunSu0FJ9kR4zjvhaIr,"1uRpg2s2jNaxbmoNiJDGfd","Beyond the Pale","Remedy Lane","Pain of Salvation",2002,596733,27,spotify:user:chiara_visca,2022-06-06T11:39:33Z,"neo-progressive,prog metal,progressive metal,swedish progressive metal,symphonic rock",0.503,0.801,7,-6.074,0,0.0593,0.0111,0.00000269,0.0894,0.533,146.965,3
3ihYW3baWXEULD5ecp5ggn,"1uRpg2s2jNaxbmoNiJDGfd","Undertow","Remedy Lane","Pain of Salvation",2002,287213,44,spotify:user:chiara_visca,2022-06-06T11:39:36Z,"neo-progressive,prog metal,progressive metal,swedish progressive metal,symphonic rock",0.589,0.656,7,-6.741,0,0.0403,0.409,0.0272,0.397,0.212,136.033,4
2VvUor8pk8HOR9cb5iC84z,"5NXHXK6hOCotCF8lvGM1I0","Anesthetize","Fear of a Blank Planet","Porcupine Tree",2007-01-01,1072313,47,spotify:user:chiara_visca,2022-06-22T19:07:26Z,"alternative metal,art rock,progressive metal,progressive rock,symphonic rock",0.548,0.49,8,-13.011,1,0.0331,0.076,0.681,0.0975,0.286,110.001,4
7FTf3bJuCq5UYHjUwggKNB,"2aaLAng2L2aWD2FClzwiep","Scene Seven: I. The Dance of Eternity","Metropolis, Pt. 2: Scenes from a Memory","Dream Theater",1999-01-01,373693,49,spotify:user:chiara_visca,2022-06-06T11:40:01Z,"neo classical metal,progressive metal",0.338,0.922,2,-6.783,1,0.0709,0.0107,0.877,0.515,0.526,122.311,4
1qZGjqfS5QoZQ5BKAhAauT,"2aaLAng2L2aWD2FClzwiep","A Change of Seasons - The Crimson Sunrise / Innocence / Carpe Diem / The Darkest of Winters / Another World / The Inevitable Summer / The Crimson Sunset","A Change of Seasons","Dream Theater",1995-08-29,1388720,43,spotify:user:chiara_visca,2022-06-06T11:39:53Z,"neo classical metal,progressive metal",0.306,0.806,4,-6.63,0,0.0562,0.000575,0.031,0.103,0.225,115.709,3
4QOxk0ogcJHgS5BqbU1SIK,"2aaLAng2L2aWD2FClzwiep","Endless Sacrifice","Train of Thought","Dream Theater",2003-11-10,683306,45,spotify:user:chiara_visca,2022-06-06T11:39:58Z,"neo classical metal,progressive metal",0.319,0.935,2,-5.365,0,0.114,0.000025,0.11,0.187,0.284,96.833,4
4TZo49HN2MkbWmHMTf4NcH,"2aaLAng2L2aWD2FClzwiep","Octavarium","Octavarium","Dream Theater",2005-06-06,1440013,44,spotify:user:chiara_visca,2022-06-06T11:40:06Z,"neo classical metal,progressive metal",0.309,0.745,5,-6.73,0,0.0462,0.0109,0.00159,0.103,0.0726,127.928,4
5axwj3ekvw85989jjO8Ov8,"2aaLAng2L2aWD2FClzwiep","Panic Attack","Octavarium","Dream Theater",2005-06-06,493026,58,spotify:user:chiara_visca,2022-06-06T11:40:09Z,"neo classical metal,progressive metal",0.494,0.96,1,-5.478,1,0.126,0.0000393,0.00519,0.113,0.127,125.969,4
0hXotde1qNBOxBXp9VDWrH,"1uRpg2s2jNaxbmoNiJDGfd","In the Flesh","The Perfect Element, Pt. I","Pain of Salvation",2000,516400,19,spotify:user:chiara_visca,2022-06-06T11:42:01Z,"neo-progressive,prog metal,progressive metal,swedish progressive metal,symphonic rock",0.259,0.72,9,-7.001,1,0.0382,0.00892,0.0000404,0.24,0.134,99.774,4
1SnhiIFYlL73JwMXkKAcof,"1uRpg2s2jNaxbmoNiJDGfd","Idioglossia","The Perfect Element, Pt. I","Pain of Salvation",2000,509693,20,spotify:user:chiara_visca,2022-06-06T11:42:23Z,"neo-progressive,prog metal,progressive metal,swedish progressive metal,symphonic rock",0.281,0.913,4,-5.42,0,0.0881,0.00321,0.0000119,0.829,0.227,106.228,1
23sX8viyyjK7xZoXRDDKIR,"1uRpg2s2jNaxbmoNiJDGfd","Road Salt","Road Salt One","Pain of Salvation",2010-07-16,182706,27,spotify:user:chiara_visca,2022-06-06T11:42:47Z,"neo-progressive,prog metal,progressive metal,swedish progressive metal,symphonic rock",0.4,0.184,9,-9.041,0,0.0325,0.93,0.0000773,0.0899,0.128,135.763,4
0kddNyu476mmgO7onYjC3J,"1uRpg2s2jNaxbmoNiJDGfd","Sisters","Road Salt One","Pain of Salvation",2010-07-16,375000,42,spotify:user:chiara_visca,2022-06-06T11:42:53Z,"neo-progressive,prog metal,progressive metal,swedish progressive metal,symphonic rock",0.469,0.39,2,-9.456,0,0.0319,0.707,0.00229,0.251,0.217,77.743,3
5k3c4NWAorEOUw2XznRtzl,"1uRpg2s2jNaxbmoNiJDGfd","The Passing Light of Day","In The Passing Light Of Day","Pain of Salvation",2017-01-13,931120,27,spotify:user:chiara_visca,2022-06-06T11:43:07Z,"neo-progressive,prog metal,progressive metal,swedish progressive metal,symphonic rock",0.347,0.364,0,-7.371,1,0.0308,0.368,0.00161,0.132,0.0968,138.139,4
