Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
12v5GBM74fB8WsHJPQRTIe,"43JlwunhXm1oqdKyOa2Z9Y,3ZotbHeyVQKxQCPDJuQ4SU","Nakamarra (feat. Q-Tip)","Tawk Tomahawk","Hiatus Kaiyote,Q-Tip",2013-07-12,275320,57,spotify:user:chiara_visca,2022-06-06T17:26:07Z,"alternative r&b,australian r&b,indie soul,neo soul,shiver pop,alternative hip hop,east coast hip hop,hardcore hip hop,hip hop,queens hip hop",0.552,0.531,8,-6.767,1,0.125,0.656,0.0000521,0.11,0.324,91.573,4
55mvtucws4Mnro27744t9X,"43JlwunhXm1oqdKyOa2Z9Y","Red Room","Mood Valiant","Hiatus Kaiyote",2021-06-25,232053,56,spotify:user:chiara_visca,2022-06-06T17:26:20Z,"alternative r&b,australian r&b,indie soul,neo soul,shiver pop",0.687,0.361,7,-9.782,1,0.0501,0.631,0.00479,0.117,0.453,80.935,4
3c7N2fCFB4JVKGF8cWfteh,"43JlwunhXm1oqdKyOa2Z9Y","Fingerprints","Choose Your Weapon","Hiatus Kaiyote",2015-05-01,256920,54,spotify:user:chiara_visca,2022-06-06T17:26:54Z,"alternative r&b,australian r&b,indie soul,neo soul,shiver pop",0.6,0.237,8,-11.212,1,0.0466,0.521,0.0466,0.117,0.325,79.8,4
3PHgxKy3nKy0v9KvUtHl8g,"43JlwunhXm1oqdKyOa2Z9Y","And We Go Gentle","Mood Valiant","Hiatus Kaiyote",2021-06-25,203266,52,spotify:user:chiara_visca,2022-06-06T17:27:05Z,"alternative r&b,australian r&b,indie soul,neo soul,shiver pop",0.587,0.584,4,-7.594,0,0.0395,0.299,0.0000253,0.109,0.525,71.826,4
2m6knc5tEfzVYwGY6GlCPm,"43JlwunhXm1oqdKyOa2Z9Y","Molasses","Choose Your Weapon","Hiatus Kaiyote",2015-05-01,289480,51,spotify:user:chiara_visca,2022-06-06T17:27:13Z,"alternative r&b,australian r&b,indie soul,neo soul,shiver pop",0.554,0.443,7,-7.461,0,0.211,0.185,0.0000192,0.16,0.483,83.892,4
08o9yCplgxLM11ymhvkbl8,"43JlwunhXm1oqdKyOa2Z9Y","Mobius Streak","Tawk Tomahawk","Hiatus Kaiyote",2013-07-12,359386,40,spotify:user:chiara_visca,2022-06-06T17:27:22Z,"alternative r&b,australian r&b,indie soul,neo soul,shiver pop",0.314,0.734,0,-6.499,1,0.0728,0.283,0.000495,0.151,0.168,131.966,4
2iArM3RVo0uupvmg5xqvWE,"43JlwunhXm1oqdKyOa2Z9Y","Sip Into Something Soft","Mood Valiant","Hiatus Kaiyote",2021-06-25,102893,44,spotify:user:chiara_visca,2022-06-06T17:27:42Z,"alternative r&b,australian r&b,indie soul,neo soul,shiver pop",0.421,0.629,4,-9.216,0,0.0529,0.817,0.0744,0.127,0.344,77.769,3
3STeMaQt9svi9EyB4BYrIc,"43JlwunhXm1oqdKyOa2Z9Y","Chivalry Is Not Dead","Mood Valiant","Hiatus Kaiyote",2021-06-25,206826,46,spotify:user:chiara_visca,2022-06-06T17:27:54Z,"alternative r&b,australian r&b,indie soul,neo soul,shiver pop",0.562,0.752,4,-5.562,0,0.181,0.263,0.00000131,0.146,0.564,134.78,4
5IOLaZLFnrBIjZImSS1E1u,"2i1CPudyCUjL50Wqjv8AMI,24icoQNJSEWNu3XvqKBR68","Door","Structuralism","Alfa Mist,Jordan Rakei",2019-04-26,247760,46,spotify:user:chiara_visca,2022-06-06T17:25:11Z,"british jazz,indie jazz,indie soul,uk contemporary jazz,alternative r&b,neo r&b,soul",0.505,0.511,2,-11.623,0,0.0444,0.875,0.461,0.116,0.24,126.264,3
6nGNzqlHTKugpRWkXrZkPC,"2i1CPudyCUjL50Wqjv8AMI,12WK0pR6DK71O5uqTHWzyE","Breathe","Antiphon","Alfa Mist,Kaya Thomas-Dyke",2017-03-03,447000,45,spotify:user:chiara_visca,2022-06-06T17:34:49Z,"british jazz,indie jazz,indie soul,uk contemporary jazz",0.332,0.285,9,-13.385,0,0.0307,0.585,0.28,0.0837,0.0395,99.765,3
