Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5S26Z9Raj3t4e6zXsVrsNP,"4eiYHJLlxeKQXAw0UDoXJl","Transylvanian Lullaby","Transylvanian Lullaby","Erutan",2013-01-31,166440,40,spotify:user:chiara_visca,2022-07-11T09:19:39Z,"fantasy,medieval folk",0.184,0.207,10,-12.819,0,0.0437,0.98,0.065,0.303,0.121,165.506,4
7bhub6kscykFs0ux2kSLSd,"0SbSDzM4X41hnlURed0fcV,2voy1BXJNny7VMnv2fFami,7gDyBZMZB2ReOWqNsNxFUy","Bella's Lullaby","Twilight - Interpretations for Piano and Violin","Carter Burwell,Dan Redfeld,Elizabeth Hedman",2009-09-14,140984,0,spotify:user:chiara_visca,2022-07-11T09:20:34Z,"classic soundtrack,scorecore,soundtrack",0.197,0.042,7,-27.421,1,0.0417,0.791,0.00719,0.103,0.115,180.323,4
4xHpqKKjWAULcbFlVefLrw,"71jzN72g8qWMCMkWC5p1Z0","New Moon (The Meadow)","The Twilight Saga: New Moon (Original Motion Picture Soundtrack)","Alexandre Desplat",2009-10-09,249026,48,spotify:user:chiara_visca,2022-07-11T09:22:58Z,"french soundtrack,orchestral soundtrack,soundtrack",0.449,0.0844,9,-19.391,0,0.0437,0.987,0.901,0.131,0.105,124.936,4
6MytDTHZc4eU3RdQZx87cJ,"1FWybrAwiSa0zKibdLfZZr","Eyes on Fire - Twilight Soundtrack Version","Twilight Original Motion Picture Soundtrack","Blue Foundation",2008-10-28,301346,0,spotify:user:chiara_visca,2022-07-11T09:23:58Z,"dream pop,electronica",0.538,0.4,3,-9.443,0,0.0337,0.677,0.00173,0.133,0.394,145.072,4
6frUerOqY0xIDT4pFAjGK4,"2cKVADiSeLpHpIYYaQ6u1q","The Lion Fell In Love With The Lamb","Vampire - Cult Movie Themes","The Twilight Orchestra",2011-02-15,190813,30,spotify:user:chiara_visca,2022-07-11T09:24:22Z,"",0.252,0.0566,9,-19.293,1,0.0362,0.852,0.546,0.0942,0.0398,77.466,4
0COqiPhxzoWICwFCS4eZcp,"5nGIFgo0shDenQYSE0Sn7c","Bring Me To Life","Fallen","Evanescence",2003-03-04,235893,81,spotify:user:chiara_visca,2022-07-11T09:24:40Z,"alternative metal",0.331,0.943,4,-3.188,0,0.0698,0.00721,0.00000206,0.242,0.296,94.612,4
507bYMYfbm6sUS9iEAaeSd,"6B5c4sch27tWHAGdarpPaW,0fGVuq5ed21pM7iWwTcMyk","Broken","Disclaimer II","Seether,Amy Lee",2004-01-01,258333,70,spotify:user:chiara_visca,2022-07-11T11:44:20Z,"alternative metal,modern rock,nu metal,post-grunge,south african rock",0.448,0.61,3,-2.695,0,0.0342,0.0102,0.000491,0.135,0.214,123.762,4
5ruqbLGY5t9fB16m5MdaxK,"0SbSDzM4X41hnlURed0fcV,2voy1BXJNny7VMnv2fFami,7gDyBZMZB2ReOWqNsNxFUy","Phascination Phase","Twilight - Interpretations for Piano and Violin","Carter Burwell,Dan Redfeld,Elizabeth Hedman",2009-09-14,120038,0,spotify:user:chiara_visca,2022-07-11T09:24:57Z,"classic soundtrack,scorecore,soundtrack",0.22,0.0273,9,-28.176,1,0.0395,0.647,0.0674,0.0799,0.0695,74.522,3
3UygY7qW2cvG9Llkay6i1i,"5nGIFgo0shDenQYSE0Sn7c","Going Under","Fallen","Evanescence",2003-03-04,214946,72,spotify:user:chiara_visca,2022-07-11T09:25:03Z,"alternative metal",0.37,0.858,11,-4.885,0,0.0545,0.00815,0.0000212,0.229,0.464,175.077,4
0tWEB6BxbI48XN79QE1JbT,"5nGIFgo0shDenQYSE0Sn7c","Everybody's Fool","Fallen","Evanescence",2003-03-04,195880,66,spotify:user:chiara_visca,2022-07-11T09:25:07Z,"alternative metal",0.437,0.835,2,-5.076,0,0.0405,0.00145,0.0000227,0.245,0.296,95.111,4
7z8KQiJ4kclFjGGjDRkvFK,"4CvTDPKA6W06DRfBnZKrau","Hearing Damage","Hearing Damage","Thom Yorke",2009-10-18,303360,0,spotify:user:chiara_visca,2022-07-11T09:25:37Z,"art pop,electronica,glitch pop,indie rock,oxford indie",0.627,0.86,1,-6.321,1,0.03,0.0477,0.851,0.109,0.144,116.019,4
6Twyz8QhFSqNmSdEWfLvup,"2nFHnrdxGUIJSfc1w1xCeg","Gymnopedie","Eclipse","Edward Cullen",2010-04-03,230034,36,spotify:user:chiara_visca,2022-07-11T09:27:09Z,"",0.406,0.002,7,-32.137,1,0.0543,0.984,0.779,0.0869,0.116,68.498,4
2PCTrOWob0vs0io6pfGOYS,"5BcEbeQq5n2fz8HbhI9CWU","Once Upon a December (from Anastasia)","Believe","Emile Pandolfi",2005-01-01,252253,53,spotify:user:chiara_visca,2022-07-11T11:45:09Z,"new age piano",0.239,0.173,11,-19.353,0,0.0362,0.981,0.929,0.16,0.131,72.718,4
2aIcanXxVk0tBtyWimy8Ew,"1Dot4uMsJMx8n1Xi7gAdV6","Your Hands Are Cold - From Pride & Prejudice Soundtrack","Pride and Prejudice OST","Jean-Yves Thibaudet",2005-01-01,322906,45,spotify:user:chiara_visca,2022-07-11T11:46:50Z,"classical piano,french classical piano,soundtrack",0.139,0.0427,2,-23.586,1,0.0438,0.963,0.908,0.0885,0.0347,142.538,4
1fvRueeK5f60hkG1VzoXXq,"5qBZETtyzfYnXOobDXbmcD","Victor's Piano Solo","Tim Burton's Corpse Bride Original Motion Picture Soundtrack (U.S. Release)","Danny Elfman",2005-09-20,78000,57,spotify:user:chiara_visca,2022-07-11T11:47:36Z,"orchestral soundtrack,soundtrack",0.41,0.0262,1,-26.593,0,0.0384,0.983,0.925,0.123,0.237,142.138,3
4EXFg2Y9iNKXlU3emV2kUN,"5ucaHmsck6O7wPVU9E1zz5","THE TWILIGHT SAGA-ECLIPSE: Jacob's Theme","The Snowman: Film Music For Chamber Ensemble","Dan Redfeld & Elizabeth Hedman",2019-12-13,157889,16,spotify:user:chiara_visca,2022-07-11T11:48:06Z,"",0.229,0.124,0,-17.769,1,0.0388,0.921,0.689,0.253,0.0976,79.87,4
6wEZKaUnOFYZpi76ZGlfeF,"0fGVuq5ed21pM7iWwTcMyk","Sally's Song","The Jack 2 Pack (The Nightmare Before Christmas)","Amy Lee",2006-01-01,182533,44,spotify:user:chiara_visca,2022-07-11T11:49:17Z,"",0.484,0.291,10,-9.967,1,0.0263,0.696,0.0000107,0.0676,0.038,97.993,4
4IDfVjI1TlB1UwlC01T4Bm,"74XFHRwlV6OrjEM0A2NCMF","Decode - Twilight Soundtrack Version","Brand New Eyes","Paramore",2009-09-22,261959,57,spotify:user:chiara_visca,2022-07-11T11:50:47Z,"candy pop,pixie,pop emo,pop punk",0.282,0.866,10,-4.223,0,0.0588,0.000705,0.0055,0.101,0.277,163.987,4
663Karu2rvKLdnY0eo1n3M,"5nGIFgo0shDenQYSE0Sn7c","Call Me When You're Sober","The Open Door","Evanescence",2006-01-01,214706,67,spotify:user:chiara_visca,2022-07-11T11:52:34Z,"alternative metal",0.45,0.883,7,-4.094,1,0.0524,0.00193,0,0.293,0.328,93.41,4
0NDKrxRuw0H3tZxbpYIhze,"74XFHRwlV6OrjEM0A2NCMF","I Caught Myself","I Caught Myself","Paramore",2008-11-03,235440,57,spotify:user:chiara_visca,2022-07-11T11:53:32Z,"candy pop,pixie,pop emo,pop punk",0.543,0.868,9,-3.836,1,0.0367,0.00122,0,0.116,0.308,116.145,4
