Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5jBvdEOuUp7ARQXe0AORVF,"6fuALtryzj4cq7vkglKLxq","Holocene","Phanerozoic II: Mesozoic | Cenozoic","The Ocean",2020-09-25,347293,33,spotify:user:fijnqh5pmwqzh2vrgwy1sqfi7,2021-10-10T11:09:08Z,"alternative metal,atmospheric post-metal,atmospheric sludge,djent,post-metal,post-rock,progressive metal,progressive sludge,sludge metal",0.492,0.759,2,-8.39,1,0.0347,0.154,0.808,0.0824,0.332,170.015,4
2gYLeC5Ikd8DFSJfwGZJp3,"3qyg72RGnGdF521zMU02u9","Bloodline","Alien","Northlane",2019-08-02,205666,51,spotify:user:fijnqh5pmwqzh2vrgwy1sqfi7,2021-10-10T11:09:47Z,"australian metalcore,deep melodic metalcore,djent,melodic metalcore,metalcore,nu-metalcore,progressive metalcore",0.514,0.964,6,-6.78,1,0.0992,0.000083,0.196,0.137,0.404,97.492,4
3DW6GVr7RVyfvo4NBRvZIZ,"1Ffb6ejR6Fe5IamqA5oRUF","Dear Diary,","POST HUMAN: SURVIVAL HORROR","Bring Me The Horizon",2020-10-30,164797,61,spotify:user:fijnqh5pmwqzh2vrgwy1sqfi7,2021-10-10T11:10:08Z,"melodic metalcore,metalcore,rock,uk metalcore",0.514,0.968,7,-3.737,1,0.19,0.000137,0.00026,0.128,0.262,117.878,3
4eE3P5x99qwak3NBEh6x7Z,"1uRpg2s2jNaxbmoNiJDGfd","ACCELERATOR","PANTHER","Pain of Salvation",2020-08-28,331000,31,spotify:user:fijnqh5pmwqzh2vrgwy1sqfi7,2021-10-10T11:10:23Z,"neo-progressive,prog metal,progressive metal,swedish progressive metal,symphonic rock",0.518,0.647,11,-11.024,0,0.0899,0.0102,0.000217,0.102,0.298,127.393,5
3aIfwIzQbTuWb9mBuCW4ob,"2SRIVGDkdqQnrQdaXxDkJt","Invasion","Virus","Haken",2020-07-24,402186,36,spotify:user:fijnqh5pmwqzh2vrgwy1sqfi7,2021-10-10T11:10:29Z,"jazz metal,neo classical metal,neo-progressive,progressive metal,symphonic rock",0.642,0.813,6,-7.292,1,0.0594,0.0202,0.00624,0.0916,0.327,119.988,3
5O7M9Ef0F5orV3UNJ4URNx,"2pAajGWerK3ghwToNWFENS","Conditions Of My Parole","Conditions Of My Parole","Puscifer",2011-10-18,174160,55,spotify:user:fijnqh5pmwqzh2vrgwy1sqfi7,2021-10-10T11:11:14Z,"alternative metal,alternative rock,industrial metal,industrial rock,nu metal",0.558,0.835,4,-4.642,0,0.0576,0.0063,0.00415,0.116,0.591,146.581,4
1D2fvbNf4LpOGPPkJ4uqyV,"4TrfxRxjCvOFprX1W2V8k1","Singularity","Semaphore","Black Orchid Empire",2020-06-12,172653,37,spotify:user:fijnqh5pmwqzh2vrgwy1sqfi7,2021-10-10T11:11:22Z,"prog metal",0.504,0.839,4,-4.921,1,0.0408,0.0000892,0.00395,0.203,0.178,116.231,3
7EL9TECYxdwPIGTM4gajEQ,"4msm1QtpV7zMReePhbEQ6H","Movement","Resident Human","Wheel",2021-03-26,264003,33,spotify:user:fijnqh5pmwqzh2vrgwy1sqfi7,2021-10-10T11:11:30Z,"finnish progressive rock,modern progressive rock",0.523,0.81,1,-5.717,1,0.0474,0.000676,0.547,0.243,0.185,128.915,4
0DabkRkFD74ltGae3xc2Qi,"4tXtAqJV0KS75ndQsYh1GG","I'm Your President","Cyberfunk!","Mother's Cake",2020-09-18,150933,35,spotify:user:fijnqh5pmwqzh2vrgwy1sqfi7,2021-10-10T11:11:48Z,"austrian metal,austrian stoner rock",0.534,0.969,11,-5.507,0,0.113,0.00848,0.00072,0.83,0.438,142.164,4
6Dunt2D6P0zuWM8XvusCAm,"6FKokxvL5PCWIxrVhMyDgI","Succubus","Dream Soda","Demob Happy",2015-10-02,221746,42,spotify:user:fijnqh5pmwqzh2vrgwy1sqfi7,2021-10-10T11:11:59Z,"brighton indie,modern alternative rock,modern rock,newcastle indie",0.369,0.792,11,-4.591,1,0.0494,0.0000552,0.000577,0.109,0.391,178.193,4
3WATWS2Ywo5HeHtG0bE2iZ,"1Ffb6ejR6Fe5IamqA5oRUF","Teardrops","POST HUMAN: SURVIVAL HORROR","Bring Me The Horizon",2020-10-30,215003,66,spotify:user:fijnqh5pmwqzh2vrgwy1sqfi7,2021-10-10T11:12:47Z,"melodic metalcore,metalcore,rock,uk metalcore",0.497,0.916,7,-3.323,1,0.108,0.000323,0,0.36,0.401,96.051,4
5mT8aQv538JCa51xF7K5RX,"2ziB7fzrXBoh1HUPS6sVFn","Light My Way","Audioslave","Audioslave",2002-11-17,303400,44,spotify:user:fijnqh5pmwqzh2vrgwy1sqfi7,2021-10-10T11:13:02Z,"alternative metal,alternative rock,nu metal,permanent wave,post-grunge,rock,supergroup",0.353,0.705,0,-4.776,1,0.0362,0.00132,0.00000134,0.115,0.447,81.527,4
4dbf6odeoCORh3AlFaOHb2,"6fuALtryzj4cq7vkglKLxq","Bathyalpelagic Ii: The Wish in Dreams","Pelagial","The Ocean",2013-04-30,198080,29,spotify:user:fijnqh5pmwqzh2vrgwy1sqfi7,2021-10-10T11:13:23Z,"alternative metal,atmospheric post-metal,atmospheric sludge,djent,post-metal,post-rock,progressive metal,progressive sludge,sludge metal",0.378,0.955,0,-4.823,1,0.0551,0.0000104,0.00824,0.358,0.392,96.842,3
0WSa1sucoNRcEeULlZVQXj,"1Ffb6ejR6Fe5IamqA5oRUF","Can You Feel My Heart","Sempiternal (Expanded Edition)","Bring Me The Horizon",2013-04-01,228146,81,spotify:user:fijnqh5pmwqzh2vrgwy1sqfi7,2021-10-10T11:13:30Z,"melodic metalcore,metalcore,rock,uk metalcore",0.15,0.859,4,-2.827,0,0.0595,0.00201,0.194,0.387,0.354,170.527,5
6Q7POvDeFGVFDYPmz7huYP,"6Ghvu1VvMGScGpOUJBAHNH","Rocket Skates","Diamond Eyes","Deftones",2008,254120,51,spotify:user:fijnqh5pmwqzh2vrgwy1sqfi7,2021-10-10T11:13:48Z,"alternative metal,nu metal,rap metal,rock,sacramento indie",0.129,0.951,4,-4.922,1,0.117,0.00000157,0.88,0.0854,0.203,76.343,4
5vVKkF3xih38Vcoo4HgAo8,"6Ghvu1VvMGScGpOUJBAHNH","Engine No. 9","Adrenaline","Deftones",1995-09-29,204880,59,spotify:user:fijnqh5pmwqzh2vrgwy1sqfi7,2021-10-10T11:13:56Z,"alternative metal,nu metal,rap metal,rock,sacramento indie",0.358,0.981,2,-5.13,1,0.178,0.000093,0.000193,0.386,0.382,93.744,4
0e06Zwd1027jFtmrRbXAjl,"3RNrq3jvMZxD9ZyoOZbQOD","It's On!","Follow The Leader","Korn",1998-08-18,269573,56,spotify:user:fijnqh5pmwqzh2vrgwy1sqfi7,2021-10-10T11:14:02Z,"alternative metal,funk metal,nu metal,rap metal,rock",0.447,0.795,11,-6.855,0,0.109,0.00074,0.0237,0.0992,0.229,90.975,4
07xFWwKPOApMS56ildsV0G,"3RNrq3jvMZxD9ZyoOZbQOD","Twist","Life Is Peachy","Korn",1996-10-15,49213,62,spotify:user:fijnqh5pmwqzh2vrgwy1sqfi7,2021-10-10T11:14:06Z,"alternative metal,funk metal,nu metal,rap metal,rock",0.558,0.989,1,-5.041,0,0.158,0.395,0.0000981,0.375,0.635,83.071,4
7MEHTWzEi3z7P2jEWAcdHZ,"05fG473iIaoy82BF1aGhL8","Eyeless","Slipknot (10th Anniversary Edition)","Slipknot",2009-09-09,236360,65,spotify:user:fijnqh5pmwqzh2vrgwy1sqfi7,2021-10-10T11:14:23Z,"alternative metal,nu metal,rap metal",0.293,0.997,4,-4.364,0,0.217,0.000463,0.0000395,0.415,0.13,100.348,4
1vllMsoP3VKv8NqarjI1Xw,"7ssGZO3qDsbwCaBOBcQ4aA","Trust","Crux","Moon Tooth",2019-03-29,275134,29,spotify:user:fijnqh5pmwqzh2vrgwy1sqfi7,2021-10-10T11:14:51Z,"prog metal",0.474,0.996,2,-1.933,1,0.198,0.0000137,0.000344,0.234,0.214,114.577,4
7eybuzgqCGdhwBQsyPMloO,"4aOJwHpU6TcuhC4QKNn8MS","Destroy Create Transform Sublimate","Are You Kidding Me? No.","Destrage",2014-03-04,324573,30,spotify:user:fijnqh5pmwqzh2vrgwy1sqfi7,2021-10-10T11:15:06Z,"italian metal,italian metalcore",0.224,0.974,5,-3.254,0,0.144,0.000137,0.0197,0.138,0.337,93.005,4
2OqrpVoHNCTVxQWCo9r5NJ,"23ytwhG1pzX6DIVWRWvW1r","Cages","Polaris","TesseracT",2015-09-18,328767,30,spotify:user:fijnqh5pmwqzh2vrgwy1sqfi7,2021-10-10T11:15:22Z,"djent,progressive metal",0.473,0.712,5,-8.309,0,0.0466,0.0269,0.705,0.0973,0.157,160.083,4
