Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3TgG7j2pQTuRGXbmgR1QYw,"2n2RSaZqBuUUukhbLlpnE6","Alkaline","Alkaline","Sleep Token",2021-06-18,214106,41,spotify:user:,1970-01-01T00:00:00Z,"prog metal",0.488,0.82,3,-8.298,0,0.151,0.00999,0.000067,0.108,0.0486,148.068,4
2IpfogHx3slMFLsDgnifa1,"2n2RSaZqBuUUukhbLlpnE6","Atlantic","This Place Will Become Your Tomb","Sleep Token",2021-09-24,293000,51,spotify:user:,1970-01-01T00:00:00Z,"prog metal",0.492,0.392,10,-10.414,0,0.0327,0.431,0.000362,0.127,0.403,135.005,4
3whAYGfFH2hezD9L9B2oH0,"2Waw2sSbqvAwK8NwACNjVo","White Woman’s Instagram","Inside (The Songs)","Bo Burnham",2021-06-10,240926,36,spotify:user:,1970-01-01T00:00:00Z,"comic",0.652,0.768,5,-8.632,1,0.0886,0.227,0.00000737,0.159,0.588,150.052,4
2vA6RftF4o7N95ifeRyJ2z,"2Waw2sSbqvAwK8NwACNjVo","FaceTime with my Mom (Tonight)","Inside (The Songs)","Bo Burnham",2021-06-10,140962,34,spotify:user:,1970-01-01T00:00:00Z,"comic",0.822,0.371,6,-11.496,1,0.0461,0.668,0,0.202,0.671,125.041,4
3rV5y8rcQrwRt9fWGLmjOQ,"2Waw2sSbqvAwK8NwACNjVo","All Eyes On Me","Inside (The Songs)","Bo Burnham",2021-06-10,302950,45,spotify:user:,1970-01-01T00:00:00Z,"comic",0.352,0.424,6,-10.131,1,0.0394,0.733,0.000023,0.0664,0.141,127.047,4
7CAbF0By0Fpnbiu6Xn5ZF7,"1Ffb6ejR6Fe5IamqA5oRUF,630wzNP2OL7fl4Xl0GnMWq","Kingslayer (feat. BABYMETAL)","POST HUMAN: SURVIVAL HORROR","Bring Me The Horizon,BABYMETAL",2020-10-30,220041,71,spotify:user:,1970-01-01T00:00:00Z,"melodic metalcore,metalcore,rock,uk metalcore,comic metal,idol rock,j-metal,kawaii metal",0.434,0.929,1,-2.749,1,0.147,0.000207,0.00109,0.0916,0.428,92.541,4
5YjzcTCorDbr34bngfQIIy,"2n2RSaZqBuUUukhbLlpnE6","Hypnosis","This Place Will Become Your Tomb","Sleep Token",2021-09-24,335960,55,spotify:user:,1970-01-01T00:00:00Z,"prog metal",0.466,0.936,10,-7.199,0,0.0678,0.00276,0.0186,0.105,0.376,148.028,4
2djLuf0US0tAhZQqGHF8Q2,"5dIssYf7lu8wufkQywN9WJ","Runaway","Runaway","KWAYE",2021-04-16,308285,34,spotify:user:,1970-01-01T00:00:00Z,"uk contemporary r&b",0.45,0.153,11,-9.953,0,0.0427,0.895,0.0000247,0.097,0.296,144.43,3
7d8dqy6GbiUqotcTSs0jXg,"2Waw2sSbqvAwK8NwACNjVo","Look Who’s Inside Again","Inside (The Songs)","Bo Burnham",2021-06-10,83421,48,spotify:user:,1970-01-01T00:00:00Z,"comic",0.643,0.331,2,-9.235,1,0.0387,0.761,0,0.373,0.648,160.006,3
3WATWS2Ywo5HeHtG0bE2iZ,"1Ffb6ejR6Fe5IamqA5oRUF","Teardrops","POST HUMAN: SURVIVAL HORROR","Bring Me The Horizon",2020-10-30,215003,66,spotify:user:,1970-01-01T00:00:00Z,"melodic metalcore,metalcore,rock,uk metalcore",0.497,0.916,7,-3.323,1,0.108,0.000323,0,0.36,0.401,96.051,4
3FGZFOf34nYDEcZJRkEnB3,"2n2RSaZqBuUUukhbLlpnE6","Descending","This Place Will Become Your Tomb","Sleep Token",2021-09-24,278106,44,spotify:user:,1970-01-01T00:00:00Z,"prog metal",0.569,0.452,0,-11.995,0,0.0396,0.19,0.39,0.11,0.168,145.03,4
74vy9v25MuoqNVBdAjGwJC,"4lgrzShsg2FLA89UM2fdO5","Stuck","Malina","Leprous",2017-08-25,408706,40,spotify:user:,1970-01-01T00:00:00Z,"norwegian metal,prog metal,progressive metal",0.308,0.731,9,-7.178,0,0.0472,0.00987,0.0488,0.12,0.212,98.014,4
7uCq4vBPffjaTMlE8EQzJD,"2Waw2sSbqvAwK8NwACNjVo","That Funny Feeling","Inside (The Songs)","Bo Burnham",2021-06-10,301110,40,spotify:user:,1970-01-01T00:00:00Z,"comic",0.545,0.277,4,-11.7,1,0.0392,0.764,0,0.372,0.389,75.763,4
6sIbv1oWOuma2qV907MUbk,"1Ffb6ejR6Fe5IamqA5oRUF,7I95CM75shzCjHuTzrepjM","1x1 (feat. Nova Twins)","POST HUMAN: SURVIVAL HORROR","Bring Me The Horizon,Nova Twins",2020-10-30,209598,67,spotify:user:,1970-01-01T00:00:00Z,"melodic metalcore,metalcore,rock,uk metalcore,black punk,modern alternative rock,uk diy punk",0.452,0.937,1,-3.346,0,0.161,0.000209,0.00000361,0.606,0.604,164.032,4
7N0DvWyvki3UkzJLxOoael,"2n2RSaZqBuUUukhbLlpnE6","The Offering","Sundowning","Sleep Token",2019-11-21,349653,53,spotify:user:,1970-01-01T00:00:00Z,"prog metal",0.48,0.861,6,-6.836,1,0.0477,0.00329,0.0559,0.0907,0.377,135.055,4
6X9rsDltFWeDLrGFNl5jA9,"5mlbvTfWUOfDrUIK6dkNzv","Khaos x4","I Disagree (more)","Poppy",2020-08-14,177153,45,spotify:user:,1970-01-01T00:00:00Z,"alt z,art pop,dance pop,electropop,escape room,pop,viral rap",0.168,0.939,5,-3.467,1,0.237,0.0259,0.00697,0.422,0.21,175.162,4
